Plan,Segment,Subscribers,MRR,Churn_Rate,Usage_Index
Plan-02,HighValue,493,7486.49,0.136,15.11
Plan-04,Core,472,5969.91,0.004,24.14
Plan-01,Core,457,9574.01,0.141,27.97
Plan-07,HighValue,178,10031.07,0.087,13.55
Plan-08,Core,66,5303.48,0.164,26.86
Plan-06,New,329,11939.58,0.029,17.92
Plan-01,Core,127,9337.1,0.142,21.79
Plan-02,Core,461,8358.36,0.039,17.22
Plan-07,HighValue,445,27749.02,0.169,22.91
Plan-07,New,277,5882.32,0.163,25.07
Plan-05,New,343,15300.21,0.222,34.46
Plan-03,HighValue,360,7778.88,0.057,32.31
Plan-02,HighValue,371,6898.28,0.072,15.66
Plan-04,Core,490,17146.41,0.139,18.72
Plan-02,HighValue,69,4740.12,0.148,28.2
Plan-05,New,342,6487.61,0.122,25.27
Plan-01,Core,468,13809.67,0.198,8.65
Plan-06,Core,430,10267.48,0.129,8.32
Plan-01,HighValue,187,14981.71,0.252,29.28
Plan-02,HighValue,95,9926.89,0.046,29.61
Plan-01,New,476,5366.07,0.001,17.74
Plan-04,Core,104,13370.68,0.2,21.84
Plan-04,New,163,4763.01,0.1,19.48
Plan-01,Core,275,7217.1,0.024,29.41
Plan-03,HighValue,282,12379.2,0.09,9.02
Plan-08,New,441,3638.62,0.222,31.6
Plan-04,New,432,6695.37,0.08,9.1
Plan-03,HighValue,407,9174.49,0.211,38.01
Plan-05,New,288,4255.59,0.255,25.32
Plan-08,New,375,3594.75,0.311,27.36
Plan-01,Core,259,6557.03,0.0,14.05
Plan-04,Core,348,14731.29,0.065,17.11
Plan-02,Core,309,25734.65,0.153,21.18
Plan-03,New,371,12384.49,0.075,13.94
Plan-07,HighValue,390,4804.47,0.236,10.43
Plan-02,New,112,3268.64,0.022,13.55
Plan-07,HighValue,146,18958.13,0.261,15.43
Plan-02,New,477,8230.85,0.143,24.82
Plan-02,New,405,6698.27,0.136,29.38
Plan-06,Core,279,3477.25,0.238,29.15
Plan-07,Core,332,5443.73,0.143,29.79
Plan-02,HighValue,434,7177.97,0.179,24.31
Plan-04,New,346,32876.89,0.099,21.02
Plan-05,HighValue,375,7338.05,0.2,17.92
Plan-08,Core,414,6880.52,0.38,28.32
Plan-01,New,248,7352.72,0.21,9.62
Plan-03,Core,186,2936.29,0.143,30.17
Plan-05,HighValue,468,11084.42,0.153,13.54
Plan-06,HighValue,343,6125.2,0.146,19.64
Plan-06,New,499,4933.07,0.126,13.59
Plan-07,New,458,8554.91,0.15,20.44
Plan-06,Core,55,10247.18,0.01,9.76
Plan-04,Core,484,4648.44,0.022,25.59
Plan-01,HighValue,45,9297.9,0.088,11.98
Plan-08,Core,260,11640.94,0.29000000000000004,20.09
Plan-04,New,160,3518.34,0.225,22.18
Plan-02,New,132,6945.9,0.245,39.75
Plan-06,New,181,3821.66,0.052,14.52
Plan-03,Core,70,10288.17,0.034,20.99
Plan-08,Core,271,11682.38,0.132,13.51
Plan-03,HighValue,148,12898.96,0.216,18.89
Plan-03,New,377,5404.92,0.149,14.52
Plan-07,HighValue,495,19628.1,0.198,25.83
Plan-05,New,424,8348.24,0.114,11.09
Plan-08,HighValue,275,6578.07,0.263,5.36
Plan-04,HighValue,497,2722.46,0.066,24.02
Plan-02,HighValue,25,13260.8,0.085,16.67
Plan-05,HighValue,58,11038.62,0.176,17.89
Plan-01,HighValue,246,7020.87,0.148,16.17
Plan-06,HighValue,286,6243.54,0.0,22.04
Plan-01,New,440,6026.68,0.106,19.02
Plan-07,New,437,11022.81,0.068,15.44
Plan-01,HighValue,488,5362.44,0.272,8.64
Plan-03,HighValue,134,16008.76,0.122,25.64
Plan-03,New,450,4449.06,0.067,21.54
Plan-02,HighValue,155,6390.42,0.15,16.98
Plan-05,New,476,5788.44,0.097,6.73
Plan-04,Core,143,5493.6,0.065,22.96
Plan-07,Core,371,16972.1,0.033,18.94
Plan-08,Core,319,7941.98,0.137,24.21
Plan-01,Core,32,7172.73,0.0,9.72
Plan-08,HighValue,259,10680.64,0.139,29.87
Plan-08,Core,178,8953.05,0.23700000000000002,22.5
Plan-06,HighValue,316,11558.33,0.102,29.17
Plan-02,New,400,5028.78,0.145,41.49
Plan-03,HighValue,460,9914.98,0.118,13.33
Plan-06,HighValue,169,8150.28,0.044,10.33
Plan-05,HighValue,215,7196.62,0.144,5.83
Plan-08,Core,103,7062.22,0.188,25.78
