Claim_Type,Region,Claims,Avg_Cost,Cycle_Time,Reopen_Rate
Claim Type-02,East,74,1761.92,16.09,0.18
Claim Type-05,Central,223,1046.11,16.79,0.179
Claim Type-02,North,292,2509.33,25.9,0.067
Claim Type-02,East,426,1451.82,18.26,0.139
Claim Type-04,North,146,1325.31,18.72,0.023
Claim Type-07,Central,488,2857.0,31.34,0.03
Claim Type-01,South,394,3970.84,19.76,0.066
Claim Type-07,East,125,3149.31,26.99,0.126
Claim Type-02,Central,229,1950.13,8.21,0.154
Claim Type-08,North,453,1364.63,33.723000000000006,0.184
Claim Type-03,Central,277,1300.44,29.13,0.118
Claim Type-08,East,452,4107.95,24.3,0.33799999999999997
Claim Type-07,Central,146,4297.48,20.08,0.178
Claim Type-03,Central,96,1790.65,14.22,0.164
Claim Type-05,East,302,2076.04,18.2,0.189
Claim Type-07,Central,334,3660.18,20.23,0.195
Claim Type-04,Central,364,1589.36,25.29,0.102
Claim Type-02,South,248,1741.34,11.48,0.103
Claim Type-01,South,289,1423.3,8.53,0.082
Claim Type-02,Central,410,1594.08,27.06,0.264
Claim Type-02,East,439,2198.69,24.54,0.195
Claim Type-06,South,61,1345.45,8.12,0.162
Claim Type-03,East,175,1635.56,34.26,0.127
Claim Type-06,East,258,1410.64,12.9,0.103
Claim Type-08,Central,328,3404.82,37.5165,0.406
Claim Type-03,East,22,1058.51,20.49,0.078
Claim Type-01,Central,429,1505.93,19.77,0.051
Claim Type-05,North,296,2749.95,23.66,0.172
Claim Type-08,East,236,1447.11,27.378000000000004,0.14700000000000002
Claim Type-04,East,79,1071.05,23.64,0.116
Claim Type-03,South,390,4774.84,20.64,0.152
Claim Type-08,East,126,2369.91,26.001000000000005,0.28
Claim Type-01,East,46,1928.32,28.69,0.101
Claim Type-04,South,441,1935.36,12.27,0.053
Claim Type-02,East,477,2784.62,30.23,0.003
Claim Type-06,Central,106,1614.94,11.86,0.164
Claim Type-05,East,69,1361.47,25.01,0.108
Claim Type-02,East,281,1554.51,22.82,0.028
Claim Type-04,North,166,4316.42,10.62,0.12
Claim Type-02,East,420,943.93,16.58,0.312
Claim Type-02,Central,259,2759.58,25.0,0.18
Claim Type-03,South,316,2256.42,23.48,0.097
Claim Type-03,North,489,1947.76,20.4,0.164
Claim Type-02,North,196,4376.19,3.13,0.187
Claim Type-03,Central,395,1274.64,27.05,0.085
Claim Type-04,East,353,1223.96,26.99,0.104
Claim Type-02,East,444,1894.26,23.34,0.036
Claim Type-06,North,263,1132.64,21.66,0.162
Claim Type-03,Central,290,1713.53,14.39,0.126
Claim Type-07,Central,349,846.73,11.74,0.134
Claim Type-06,South,157,2425.0,22.54,0.076
Claim Type-07,East,82,2065.14,26.02,0.013
Claim Type-08,South,455,1266.12,16.929,0.251
Claim Type-08,Central,220,3350.3,13.419,0.203
Claim Type-07,North,419,1222.02,9.97,0.141
Claim Type-06,East,446,5134.34,20.48,0.183
Claim Type-01,North,461,1344.47,13.09,0.012
Claim Type-01,East,97,4070.28,22.36,0.134
Claim Type-08,Central,468,2813.05,16.942500000000003,0.161
Claim Type-02,Central,39,1378.0,30.96,0.047
Claim Type-05,Central,293,1553.33,23.29,0.0
Claim Type-05,Central,52,2551.37,31.79,0.08
Claim Type-01,North,263,574.7,13.74,0.033
Claim Type-08,Central,459,3061.65,43.2,0.25
Claim Type-01,South,351,2041.0,26.16,0.222
Claim Type-07,North,64,2367.88,20.42,0.172
Claim Type-05,North,304,654.08,18.61,0.067
Claim Type-05,South,134,999.06,37.73,0.233
Claim Type-03,Central,487,889.13,21.72,0.042
Claim Type-05,Central,384,2163.1,38.34,0.182
Claim Type-07,Central,208,1302.87,3.99,0.073
Claim Type-05,East,41,1482.22,11.02,0.139
Claim Type-07,East,339,1036.66,24.59,0.064
