Line,Product,Units,Defect_Rate,Downtime_Hours,Scrap_Cost
Line-02,Product-03,59,0.09,11.17,3640.37
Line-05,Product-07,338,0.125,8.91,967.27
Line-08,Product-06,314,0.177,34.465500000000006,2882.6
Line-03,Product-02,248,0.086,24.9,1421.3
Line-04,Product-02,265,0.005,14.3,2627.18
Line-01,Product-08,325,0.145,25.09,1320.58
Line-02,Product-01,25,0.106,25.0,1912.25
Line-08,Product-05,424,0.194,36.558,4089.41
Line-06,Product-01,34,0.104,23.56,1962.39
Line-06,Product-02,118,0.183,20.3,2569.76
Line-07,Product-03,22,0.089,30.64,1291.12
Line-07,Product-07,76,0.119,19.08,2214.97
Line-06,Product-07,357,0.135,19.84,4062.5
Line-06,Product-02,452,0.023,6.05,473.27
Line-04,Product-02,483,0.217,25.95,3554.44
Line-04,Product-07,279,0.154,25.13,1528.44
Line-08,Product-03,439,0.263,26.433,1515.19
Line-05,Product-05,41,0.11,33.95,1454.56
Line-03,Product-04,412,0.103,14.55,840.84
Line-04,Product-08,445,0.193,1.0,2385.04
Line-02,Product-02,276,0.108,8.19,1014.6
Line-03,Product-01,273,0.063,10.03,1631.96
Line-07,Product-06,480,0.191,12.8,1473.84
Line-07,Product-07,233,0.13,27.54,2040.68
Line-02,Product-07,416,0.239,15.97,2353.5
Line-06,Product-06,263,0.217,26.99,2303.97
Line-04,Product-01,79,0.132,19.86,1741.98
Line-03,Product-02,338,0.116,11.8,1877.83
Line-04,Product-05,479,0.17,17.92,1762.98
Line-06,Product-05,61,0.233,8.71,4216.42
Line-06,Product-04,448,0.006,17.34,1479.85
Line-05,Product-05,446,0.152,13.86,2692.1
Line-08,Product-04,75,0.26,29.929500000000004,1171.41
Line-07,Product-05,463,0.086,11.81,1265.19
Line-07,Product-06,181,0.0,40.95,2734.05
Line-06,Product-06,119,0.123,20.33,3131.15
Line-05,Product-06,400,0.065,13.55,1128.27
Line-05,Product-04,433,0.275,18.08,2370.71
Line-06,Product-01,479,0.0,14.47,3734.57
Line-06,Product-08,495,0.106,15.01,2767.09
Line-02,Product-01,164,0.118,17.4,2630.14
Line-07,Product-02,474,0.091,43.59,684.42
Line-01,Product-03,321,0.189,32.9,2693.45
Line-05,Product-07,149,0.0,8.82,1063.34
Line-05,Product-02,311,0.236,16.34,1875.56
Line-07,Product-02,223,0.066,17.11,2771.16
Line-08,Product-08,224,0.243,38.745000000000005,2477.45
Line-02,Product-06,479,0.196,7.55,3532.22
Line-07,Product-01,485,0.064,16.35,780.96
Line-01,Product-02,186,0.113,9.29,4957.31
Line-03,Product-06,398,0.125,22.49,2348.3
Line-06,Product-03,355,0.078,12.8,5499.59
Line-06,Product-04,167,0.126,18.63,2237.48
Line-05,Product-02,242,0.06,25.48,2509.3
Line-06,Product-05,193,0.049,9.67,2634.1
Line-04,Product-03,394,0.048,30.69,1950.84
Line-07,Product-06,305,0.261,24.25,2248.09
Line-07,Product-07,458,0.077,14.09,2947.99
Line-07,Product-07,422,0.257,24.7,1906.66
Line-03,Product-06,268,0.128,24.67,1484.69
Line-08,Product-06,21,0.274,31.860000000000003,1394.63
Line-04,Product-01,254,0.132,20.06,3460.44
Line-01,Product-06,434,0.028,30.11,1648.32
Line-06,Product-06,101,0.172,23.77,1617.73
Line-02,Product-01,49,0.157,23.99,2209.53
Line-05,Product-04,275,0.0,15.9,1570.89
Line-01,Product-05,234,0.087,24.15,2185.82
Line-01,Product-08,282,0.072,16.47,1481.31
Line-06,Product-07,124,0.071,20.96,1186.19
Line-08,Product-05,50,0.273,27.3105,1073.59
Line-08,Product-03,254,0.20400000000000001,14.026500000000002,979.99
Line-08,Product-04,194,0.252,35.532000000000004,1865.48
Line-07,Product-04,357,0.121,18.14,2388.01
Line-05,Product-06,243,0.17,18.69,1236.58
Line-07,Product-06,35,0.124,7.48,1627.51
Line-07,Product-06,95,0.0,23.15,1125.73
Line-02,Product-08,200,0.106,25.95,2164.31
Line-06,Product-05,448,0.149,16.61,2262.47
Line-08,Product-01,354,0.279,36.234,955.7
Line-04,Product-03,479,0.111,19.16,3531.75
Line-08,Product-01,230,0.29700000000000004,35.883,2595.04
Line-07,Product-02,266,0.029,17.84,1430.97
Line-02,Product-05,74,0.167,11.5,1948.02
Line-06,Product-01,289,0.125,33.32,3397.39
Line-04,Product-03,223,0.195,26.14,794.43
Line-03,Product-01,268,0.11,19.79,2872.23
Line-04,Product-07,203,0.117,22.27,1613.99
Line-02,Product-04,202,0.046,29.29,2234.34
Line-05,Product-05,86,0.126,9.59,1908.89
Line-06,Product-07,20,0.038,23.95,3316.27
Line-03,Product-08,247,0.099,20.33,2903.6
Line-07,Product-01,454,0.056,28.98,1966.9
Line-02,Product-07,494,0.214,18.38,1539.8
Line-02,Product-03,254,0.138,6.48,2056.21
Line-04,Product-03,120,0.148,17.62,3591.26
Line-03,Product-04,138,0.158,10.36,2124.16
Line-06,Product-07,43,0.152,12.46,2958.76
Line-05,Product-04,27,0.182,18.78,4444.87
Line-07,Product-08,484,0.194,18.61,1719.91
Line-05,Product-07,71,0.287,24.21,1693.62
Line-06,Product-08,147,0.038,21.45,1531.5
Line-08,Product-01,94,0.21400000000000002,27.985500000000002,1448.75
Line-08,Product-05,26,0.123,39.487500000000004,984.98
Line-03,Product-01,291,0.031,16.96,2153.46
Line-08,Product-06,232,0.28200000000000003,10.773000000000001,1181.6
Line-06,Product-08,486,0.305,18.82,1057.09
Line-08,Product-02,316,0.249,31.941000000000003,2003.7
Line-05,Product-01,486,0.017,13.71,2653.91
Line-07,Product-07,72,0.187,31.37,804.38
Line-06,Product-01,136,0.079,16.08,1986.51
Line-08,Product-04,233,0.11800000000000001,20.52,2383.99
Line-08,Product-01,157,0.1,20.52,5046.64
Line-04,Product-01,250,0.127,19.84,2004.21
Line-07,Product-05,304,0.182,15.96,3381.21
Line-01,Product-05,368,0.0,26.24,3066.52
Line-04,Product-03,243,0.131,33.84,1272.92
Line-02,Product-01,41,0.063,17.14,753.79
Line-02,Product-07,179,0.133,20.89,2444.28
Line-07,Product-04,152,0.061,33.68,3499.21
Line-07,Product-02,49,0.181,9.22,1394.37
Line-08,Product-03,308,0.313,14.013000000000002,1959.69
Line-01,Product-01,369,0.133,16.73,1082.19
