Category,Stock_Value,Sales,Stockout_Rate,Days_On_Hand,Markdown_Rate
Category-08,18193.03,6340.51,0.164,12.48,0.182
Category-08,10262.57,4126.06,0.1,23.96,0.245
Category-04,11816.87,6280.55,0.279,8.53,0.137
Category-01,5555.46,14638.15,0.105,26.7,0.159
Category-03,5192.78,3616.67,0.12,16.46,0.106
Category-02,17631.84,25733.0,0.135,11.61,0.0
Category-05,5993.4,21549.38,0.226,25.96,0.09
Category-06,5124.07,10611.98,0.188,7.68,0.167
Category-08,3423.11,16705.58,0.224,21.56,0.261
Category-06,8598.89,8224.8,0.096,7.19,0.101
Category-01,8063.27,4944.63,0.121,10.31,0.104
Category-06,8723.98,2816.52,0.217,28.95,0.056
Category-08,6711.97,12686.43,0.277,22.65,0.21300000000000002
Category-03,17910.19,8504.07,0.26,29.04,0.0
Category-06,6597.29,7822.96,0.086,11.68,0.216
Category-02,4257.6,6428.98,0.102,12.15,0.081
Category-03,20943.52,19159.12,0.087,23.96,0.12
Category-04,14036.74,2804.42,0.148,25.78,0.154
Category-03,12428.24,3670.04,0.203,9.93,0.071
Category-01,10812.21,6449.53,0.024,13.16,0.19
Category-08,11166.06,13939.53,0.1,4.61,0.185
Category-05,3974.65,4877.79,0.037,16.04,0.095
Category-05,6728.63,7451.07,0.086,9.67,0.119
Category-04,5460.64,15155.5,0.129,18.42,0.131
Category-04,15361.2,20048.0,0.019,20.34,0.147
Category-02,4249.84,10930.75,0.177,25.5,0.234
Category-04,4837.11,2859.59,0.174,34.59,0.331
Category-06,21277.53,26766.7,0.076,29.02,0.161
Category-05,6035.83,6577.14,0.095,7.33,0.177
Category-02,16597.0,3490.77,0.104,24.12,0.068
Category-07,8462.58,18894.71,0.078,19.81,0.005
Category-04,7199.26,31883.03,0.286,6.4,0.12
Category-06,9451.23,2913.59,0.078,22.35,0.157
Category-08,4862.37,17052.32,0.192,13.92,0.1
Category-08,6086.49,8063.8,0.333,26.92,0.163
Category-04,3914.4,4404.87,0.202,12.0,0.116
Category-02,11792.71,6576.94,0.06,16.75,0.148
Category-05,14405.38,10231.7,0.095,28.85,0.04
Category-03,34515.38,29578.0,0.134,24.32,0.168
Category-01,6074.35,15709.73,0.121,32.15,0.096
Category-04,4467.58,8273.35,0.154,20.83,0.122
Category-05,4459.52,2931.0,0.187,4.73,0.075
Category-03,2523.67,22216.27,0.183,14.81,0.153
Category-03,6391.96,9638.61,0.144,20.07,0.108
Category-06,17728.67,19399.43,0.075,12.2,0.087
Category-07,11701.49,6915.92,0.178,7.41,0.121
Category-07,12806.11,3924.46,0.075,37.67,0.0
Category-06,6257.24,14892.26,0.143,9.07,0.056
Category-08,8018.5,3696.36,0.201,32.14,0.185
Category-01,9069.68,15002.75,0.082,26.74,0.254
Category-06,14868.08,7958.0,0.029,26.46,0.102
Category-03,12980.6,3339.89,0.132,18.73,0.044
Category-03,7033.78,5779.18,0.003,19.86,0.307
Category-08,6522.52,12537.78,0.156,28.04,0.34099999999999997
Category-06,9316.39,11999.14,0.026,30.03,0.253
Category-01,16091.01,4851.03,0.064,24.84,0.224
Category-04,7671.76,8194.44,0.183,18.44,0.008
Category-01,7120.51,17015.14,0.155,23.52,0.039
Category-07,11457.47,8261.95,0.063,22.21,0.0
Category-02,4062.91,6819.0,0.133,17.67,0.072
Category-04,9642.15,5574.94,0.122,7.02,0.136
Category-03,9045.88,8095.11,0.119,28.99,0.241
Category-07,6360.22,6008.94,0.072,22.89,0.136
Category-08,8818.45,9835.34,0.20700000000000002,20.45,0.23500000000000001
Category-02,7473.91,8923.87,0.108,21.91,0.14
Category-06,20177.24,11863.76,0.23,16.37,0.105
Category-03,7030.16,10312.66,0.103,15.33,0.064
Category-06,3739.27,5136.77,0.136,20.43,0.039
Category-08,4379.18,12269.45,0.22,24.86,0.176
Category-05,13456.37,4520.88,0.174,29.84,0.008
Category-06,11861.31,3821.99,0.162,10.89,0.235
Category-04,7692.57,7431.47,0.113,7.42,0.127
Category-07,5959.96,10372.61,0.048,30.26,0.0
Category-02,3981.81,14010.71,0.028,37.72,0.183
Category-07,3799.4,14179.26,0.078,21.03,0.11
Category-06,10216.53,9143.16,0.0,19.88,0.046
Category-03,8050.54,8209.24,0.114,14.21,0.214
Category-07,6182.44,17773.98,0.089,31.36,0.034
Category-05,10794.38,8482.6,0.135,20.65,0.101
Category-02,13117.61,4850.49,0.266,8.49,0.106
