Region,Product,Sales,Profit,Growth_Rate,Return_Rate
North,Product-06,3607.58,15431.11,0.171,0.027
Central,Product-05,4726.98,1386.23,0.193,0.159
South,Product-05,23159.08,7700.99,0.12499999999999999,0.248
South,Product-08,5470.71,12631.53,0.08600000000000001,0.30300000000000005
South,Product-08,3706.92,10239.89,0.09000000000000001,0.233
East,Product-03,9791.14,21448.06,0.198,0.0
East,Product-05,8940.05,15310.17,0.113,0.083
East,Product-01,3877.74,12782.54,0.058,0.15
South,Product-05,17142.04,8916.95,0.09699999999999999,0.21000000000000002
Central,Product-07,20272.55,17123.6,0.049,0.12
South,Product-07,6192.93,13773.42,0.0,0.272
East,Product-04,6255.15,8485.2,0.117,0.197
Central,Product-03,9037.42,14970.87,0.177,0.178
Central,Product-08,13292.21,11914.02,0.023,0.06
East,Product-07,10645.0,12555.21,0.232,0.068
North,Product-05,10612.18,11966.88,0.105,0.149
East,Product-07,2262.71,13991.76,0.197,0.077
Central,Product-03,13264.04,12363.26,0.165,0.085
Central,Product-06,19256.41,14655.97,0.18,0.11
East,Product-02,5903.52,11268.78,0.164,0.001
East,Product-04,9023.04,-119.85,0.171,0.01
North,Product-04,6362.32,15349.82,0.153,0.041
Central,Product-01,4994.36,16544.5,0.158,0.126
Central,Product-01,9457.29,7942.36,0.09,0.019
Central,Product-01,8813.66,11946.27,0.122,0.177
Central,Product-06,18159.95,8810.72,0.042,0.221
Central,Product-08,6016.8,3977.53,0.075,0.232
South,Product-08,11539.67,6593.87,0.06399999999999999,0.20900000000000002
East,Product-06,10184.6,2456.71,0.043,0.084
South,Product-03,18315.96,8128.19,0.015,0.385
North,Product-02,9465.12,14957.73,0.121,0.146
North,Product-02,10304.38,16867.49,0.02,0.256
Central,Product-03,4077.26,1358.31,0.041,0.176
North,Product-03,6641.09,16615.96,0.088,0.128
East,Product-01,15847.48,20443.85,0.136,0.0
Central,Product-06,5732.86,10048.73,0.068,0.076
South,Product-08,6326.5,13653.14,0.0,0.33799999999999997
North,Product-06,20730.96,-48.63,0.162,0.076
Central,Product-08,9979.66,18438.98,0.272,0.119
Central,Product-04,20928.42,8912.89,0.104,0.139
Central,Product-02,13253.92,5102.96,0.105,0.247
South,Product-06,21661.19,17327.95,0.0,0.243
North,Product-02,2942.96,13812.08,0.105,0.193
North,Product-06,4413.6,15014.93,0.063,0.123
North,Product-06,7270.04,16245.64,0.14,0.186
Central,Product-06,9165.69,16170.72,0.179,0.098
South,Product-06,8616.76,17645.54,0.0,0.14400000000000002
North,Product-05,16580.38,12254.23,0.124,0.076
East,Product-05,7355.16,15225.53,0.143,0.131
Central,Product-06,6814.22,17361.75,0.155,0.168
South,Product-02,6789.25,9768.32,0.115,0.138
North,Product-02,2759.38,11637.15,0.114,0.171
Central,Product-07,7723.63,21010.64,0.066,0.154
South,Product-04,5639.25,16830.53,0.051000000000000004,0.33599999999999997
Central,Product-05,7379.3,6001.06,0.068,0.299
South,Product-02,6374.34,4305.09,0.15499999999999997,0.219
East,Product-05,6897.54,10157.48,0.197,0.195
Central,Product-03,14876.97,12643.7,0.129,0.182
North,Product-03,9674.27,10813.88,0.069,0.113
Central,Product-05,3494.01,15062.8,0.035,0.102
Central,Product-04,9824.76,18915.83,0.132,0.221
Central,Product-04,6746.31,15479.03,0.168,0.036
South,Product-04,3918.52,9769.96,0.031,0.199
North,Product-03,10004.57,9124.53,0.071,0.054
South,Product-01,8267.75,7374.01,0.08600000000000001,0.14500000000000002
South,Product-02,12196.93,9417.45,0.031,0.29400000000000004
North,Product-01,8422.86,7635.25,0.233,0.207
East,Product-08,18374.08,12558.03,0.113,0.099
North,Product-03,9455.79,11089.91,0.084,0.071
Central,Product-08,12090.63,13564.87,0.133,0.082
Central,Product-04,4583.58,10568.14,0.026,0.195
Central,Product-06,6817.98,20558.75,0.0,0.146
Central,Product-03,5956.41,7391.15,0.068,0.155
East,Product-06,8134.15,3020.98,0.091,0.166
North,Product-08,11790.6,16297.63,0.147,0.235
South,Product-08,8225.79,13545.56,0.0,0.221
Central,Product-01,5263.19,7071.37,0.156,0.24
Central,Product-07,6770.96,4011.3,0.254,0.081
Central,Product-08,15941.67,17031.67,0.152,0.105
South,Product-07,2992.81,17425.55,0.0,0.21400000000000002
South,Product-02,16346.24,15463.81,0.077,0.177
Central,Product-03,7849.33,10949.01,0.229,0.146
East,Product-06,5881.27,7852.4,0.085,0.057
East,Product-02,17941.95,6892.32,0.163,0.074
Central,Product-05,35486.53,8171.77,0.34,0.168
East,Product-01,5481.68,10052.33,0.046,0.146
East,Product-04,3928.58,8699.9,0.145,0.062
East,Product-05,2583.2,22524.58,0.253,0.072
North,Product-05,14633.24,14586.45,0.0,0.104
North,Product-04,12668.84,9888.35,0.13,0.148
East,Product-04,3855.04,6291.15,0.086,0.181
South,Product-03,13340.59,8862.54,0.053000000000000005,0.186
East,Product-01,16584.68,12859.42,0.109,0.252
Central,Product-04,4416.12,16690.58,0.024,0.009
East,Product-06,33917.82,8629.95,0.113,0.145
South,Product-01,14737.91,13411.45,0.040999999999999995,0.1
East,Product-03,12092.41,12874.17,0.287,0.232
Central,Product-08,11196.77,13611.8,0.156,0.118
East,Product-01,8479.54,17796.1,0.068,0.0
East,Product-03,6877.7,11838.12,0.003,0.0
South,Product-04,6626.77,8963.2,0.09100000000000001,0.129
Central,Product-06,3993.1,14358.17,0.079,0.095
North,Product-06,8019.4,11581.2,0.078,0.107
North,Product-05,3545.72,16937.45,0.224,0.102
East,Product-06,10531.2,8111.6,0.16,0.117
North,Product-05,10888.69,11641.57,0.214,0.037
Central,Product-04,3674.68,11164.65,0.205,0.104
Central,Product-03,10097.39,11364.99,0.195,0.009
North,Product-05,9184.14,8830.82,0.093,0.133
East,Product-01,5337.82,11658.3,0.192,0.194
East,Product-02,14637.0,14367.81,0.153,0.047
South,Product-05,20897.72,9873.02,0.11800000000000001,0.202
East,Product-05,8648.68,6734.43,0.078,0.05
South,Product-05,16246.07,11138.82,0.0,0.178
South,Product-07,4543.78,20378.1,0.0050000000000000044,0.178
East,Product-05,4876.01,13847.02,0.03,0.126
South,Product-05,6639.63,3561.71,0.05800000000000001,0.227
Central,Product-01,6674.32,7714.79,0.112,0.107
East,Product-07,10818.45,10670.0,0.068,0.138
South,Product-02,9062.33,5464.87,0.03799999999999999,0.262
South,Product-03,10569.2,9521.15,0.139,0.347
East,Product-08,13169.73,7565.8,0.071,0.151
Central,Product-05,5444.72,11274.33,0.17,0.021
East,Product-05,10799.67,11570.69,0.029,0.0
Central,Product-03,9223.83,15157.88,0.0,0.127
South,Product-07,18894.12,14445.89,0.079,0.41500000000000004
Central,Product-02,8311.24,23216.8,0.256,0.053
South,Product-06,4180.35,15441.05,0.136,0.28200000000000003
Central,Product-08,13269.21,9704.36,0.112,0.106
East,Product-01,2348.39,14152.01,0.118,0.049
North,Product-04,12065.38,2750.66,0.168,0.053
East,Product-01,16767.92,12004.11,0.183,0.068
