Program,Participants,Completion_Rate,Satisfaction,Skill_Gain,Cost_Per_Learner
Program-06,362,0.056,3.84,0.047,1136.91
Program-07,190,0.056,3.45,0.173,2054.68
Program-08,377,0.0,4.09,0.18,2220.85
Program-03,107,0.128,3.87,0.181,2562.07
Program-05,198,0.19,3.92,0.274,2653.11
Program-01,86,0.228,4.58,0.301,1272.74
Program-02,496,0.061,4.01,0.221,3384.79
Program-04,383,0.204,3.09,0.142,847.73
Program-08,84,0.061999999999999986,3.1,0.277,2396.84
Program-07,233,0.123,3.43,0.065,2179.44
Program-05,260,0.0,4.05,0.161,1727.8
Program-03,56,0.161,4.23,0.161,2615.44
Program-06,493,0.103,4.31,0.039,2918.21
Program-02,133,0.239,4.21,0.271,1215.63
Program-01,34,0.136,4.89,0.123,1951.55
Program-07,488,0.179,4.47,0.183,2241.59
Program-06,66,0.046,4.74,0.06,1167.2
Program-05,134,0.12,4.27,0.117,1588.67
Program-02,491,0.179,3.97,0.242,707.91
Program-06,468,0.27,3.83,0.204,817.88
Program-07,98,0.127,3.28,0.121,2107.75
Program-04,140,0.172,3.17,0.175,1997.16
Program-05,104,0.276,4.44,0.069,2950.46
Program-02,336,0.049,3.9,0.02,1842.04
Program-02,213,0.013,5.0,0.274,651.18
Program-06,112,0.163,4.31,0.115,2003.22
Program-05,47,0.148,3.69,0.261,3052.74
Program-02,310,0.202,4.31,0.152,2524.49
Program-08,293,0.036000000000000004,4.39,0.1,1908.39
Program-05,342,0.245,3.79,0.159,1235.32
Program-06,62,0.162,3.76,0.118,1826.39
Program-01,436,0.062,4.42,0.224,4344.62
Program-03,162,0.23,4.08,0.26,1581.6
Program-02,44,0.061,4.35,0.147,3177.37
Program-02,451,0.187,4.04,0.232,2221.25
Program-06,430,0.13,3.9,0.161,1072.97
Program-08,338,0.08,2.99,0.169,4301.43
Program-01,277,0.193,4.54,0.126,1905.61
Program-02,112,0.106,4.12,0.17,3721.76
Program-03,149,0.123,3.48,0.221,690.92
Program-01,332,0.036,4.57,0.117,1580.9
Program-02,86,0.0,4.55,0.307,1034.58
Program-05,75,0.144,4.24,0.124,1464.46
Program-08,244,0.0,3.8499999999999996,0.153,944.69
Program-07,68,0.081,4.13,0.084,939.49
Program-08,279,0.0,2.98,0.283,1562.73
Program-05,122,0.068,4.04,0.237,1199.06
Program-04,51,0.122,3.9,0.118,1431.07
Program-07,253,0.0,3.71,0.331,1812.55
Program-07,445,0.207,4.31,0.0,1707.52
Program-03,245,0.0,4.12,0.257,3474.25
Program-06,86,0.057,2.62,0.174,1900.46
Program-05,136,0.212,3.46,0.312,965.24
Program-07,433,0.161,4.36,0.115,4736.44
Program-02,304,0.183,3.37,0.072,2958.33
Program-04,161,0.091,3.71,0.265,1409.66
Program-07,466,0.148,4.98,0.062,1386.11
Program-08,64,0.05900000000000001,2.94,0.088,1911.8
Program-07,251,0.194,3.9,0.208,3831.15
Program-04,378,0.155,4.16,0.264,1184.04
Program-01,65,0.107,3.25,0.091,1778.64
Program-07,376,0.133,3.1,0.211,3760.78
Program-05,161,0.062,4.25,0.204,1752.76
Program-02,310,0.162,4.02,0.179,1328.36
Program-04,312,0.034,4.19,0.181,3053.38
Program-06,486,0.0,3.58,0.224,2438.02
Program-02,481,0.101,3.67,0.214,2181.98
Program-05,257,0.189,4.28,0.221,1911.51
Program-06,496,0.033,3.07,0.262,3903.35
Program-06,465,0.216,4.36,0.095,1771.85
Program-02,170,0.032,3.92,0.19,954.75
Program-01,36,0.218,4.88,0.007,1592.52
Program-01,378,0.093,3.68,0.226,1487.41
Program-08,352,0.15200000000000002,3.24,0.234,4831.34
Program-03,184,0.152,3.29,0.202,4875.58
Program-08,106,0.047,4.5,0.097,1113.19
Program-08,224,0.0,3.5700000000000003,0.156,986.91
Program-04,336,0.142,5.0,0.229,3606.93
Program-03,135,0.182,3.67,0.255,1327.95
Program-01,145,0.014,4.22,0.136,3981.6
Program-05,320,0.084,4.33,0.115,1475.64
Program-06,134,0.072,3.34,0.196,4649.53
Program-04,381,0.051,4.05,0.275,1391.62
Program-01,233,0.052,4.24,0.193,1237.69
Program-03,426,0.133,3.22,0.264,889.41
Program-01,208,0.16,4.14,0.317,3191.13
Program-02,49,0.059,4.55,0.124,1484.03
Program-03,59,0.088,3.96,0.152,1808.46
Program-07,466,0.145,3.72,0.205,2818.53
Program-07,482,0.049,4.73,0.156,3988.69
Program-06,50,0.0,4.72,0.184,1698.77
Program-04,63,0.169,3.29,0.407,6808.28
Program-07,403,0.246,4.44,0.252,901.96
Program-05,27,0.151,3.96,0.355,2590.89
Program-02,232,0.019,3.4,0.145,1239.92
Program-02,182,0.109,3.45,0.078,1871.28
Program-02,69,0.085,4.15,0.278,3137.11
Program-08,221,0.035,3.83,0.364,3617.65
Program-07,416,0.144,3.65,0.238,2636.68
Program-08,264,0.137,3.16,0.11,1851.9
Program-06,148,0.262,3.96,0.26,2819.28
Program-04,187,0.0,3.48,0.255,3405.47
Program-08,166,0.08600000000000001,3.74,0.178,2241.2
Program-04,204,0.121,3.81,0.106,3155.46
Program-01,31,0.081,3.89,0.273,4155.01
Program-02,148,0.161,3.35,0.209,1133.94
Program-01,140,0.203,4.69,0.262,3323.27
Program-06,363,0.183,4.68,0.253,3533.79
Program-02,273,0.131,3.48,0.204,2839.0
Program-06,433,0.228,3.73,0.231,4836.52
Program-02,242,0.191,4.37,0.152,1303.73
Program-08,160,0.0,2.99,0.156,1559.14
Program-03,124,0.19,3.48,0.116,1322.73
Program-01,153,0.108,4.36,0.139,1221.4
Program-08,329,0.040999999999999995,2.8,0.26,1582.24
Program-01,197,0.138,3.83,0.066,2959.17
Program-08,376,0.05,3.0,0.12,2685.45
Program-06,440,0.041,4.35,0.211,1626.34
Program-04,151,0.037,4.42,0.095,1196.5
Program-02,147,0.063,3.7,0.074,1588.11
Program-02,171,0.225,4.18,0.022,5104.11
Program-07,354,0.233,3.74,0.141,1941.63
Program-08,192,0.179,3.96,0.197,2299.62
Program-02,449,0.086,4.54,0.172,2037.63
Program-08,369,0.0,3.24,0.209,947.26
Program-07,340,0.07,3.5,0.152,916.2
Program-05,150,0.109,3.83,0.058,1536.43
Program-03,144,0.062,3.36,0.24,1798.96
Program-02,268,0.268,3.56,0.275,3360.91
Program-06,117,0.109,3.98,0.228,636.99
Program-04,463,0.057,3.68,0.219,1242.2
Program-03,56,0.229,4.1,0.314,1940.26
Program-05,391,0.125,4.57,0.227,2955.83
Program-08,445,0.024999999999999994,3.55,0.197,2564.66
Program-06,206,0.096,4.02,0.272,2619.45
Program-06,160,0.136,3.04,0.043,1983.83
Program-03,86,0.073,3.94,0.21,975.27
Program-06,241,0.102,3.37,0.025,991.58
Program-06,379,0.09,3.66,0.167,4689.43
Program-07,242,0.275,4.74,0.0,963.4
Program-07,456,0.153,4.22,0.356,1573.89
