Industry,Stage,Opportunities,Pipeline_Value,Win_Rate,Sales_Cycle_Days
Industry-08,Stage-01,268,4401.57,0.0059999999999999915,34.8435
Industry-07,Stage-08,479,10185.31,0.08,17.02
Industry-03,Stage-06,348,17841.12,0.155,6.09
Industry-08,Stage-04,299,4828.86,0.0,25.1775
Industry-05,Stage-07,63,2957.41,0.042,22.48
Industry-01,Stage-06,453,6589.44,0.082,9.02
Industry-07,Stage-03,450,15163.71,0.057,11.21
Industry-04,Stage-03,438,10417.93,0.119,21.15
Industry-06,Stage-06,323,4836.88,0.187,3.88
Industry-06,Stage-02,402,3575.02,0.07,30.13
Industry-02,Stage-06,110,5019.06,0.154,17.78
Industry-05,Stage-01,345,21391.48,0.189,17.73
Industry-05,Stage-04,468,7692.46,0.094,5.86
Industry-05,Stage-04,287,9000.92,0.039,33.71
Industry-05,Stage-03,58,3587.56,0.104,19.24
Industry-01,Stage-04,392,10893.74,0.068,27.01
Industry-02,Stage-01,385,9831.81,0.0,20.39
Industry-05,Stage-04,178,6945.94,0.203,23.63
Industry-02,Stage-08,213,13253.38,0.0,7.18
Industry-05,Stage-07,478,3445.42,0.056,24.18
Industry-01,Stage-06,28,20190.75,0.105,38.59
Industry-07,Stage-04,408,4418.76,0.158,8.75
Industry-08,Stage-08,343,5143.02,0.031,51.3135
Industry-07,Stage-06,49,5976.22,0.0,19.4
Industry-03,Stage-03,422,9853.9,0.253,16.74
Industry-02,Stage-07,297,6948.0,0.097,8.85
Industry-08,Stage-01,482,5828.47,0.044,41.013
Industry-06,Stage-03,367,24488.88,0.185,1.88
Industry-03,Stage-08,60,13353.37,0.185,23.94
Industry-04,Stage-01,432,15411.17,0.089,36.37
Industry-05,Stage-08,471,3209.38,0.089,22.69
Industry-02,Stage-07,484,15325.48,0.167,25.83
Industry-06,Stage-07,358,7355.73,0.177,23.15
Industry-08,Stage-02,357,3725.16,0.05600000000000001,38.043
Industry-05,Stage-06,223,10759.54,0.073,29.72
Industry-01,Stage-06,233,6468.7,0.212,13.11
Industry-05,Stage-04,91,8352.96,0.129,19.64
Industry-05,Stage-08,278,7614.56,0.156,21.75
Industry-02,Stage-01,55,8105.06,0.019,29.85
Industry-05,Stage-05,136,14320.05,0.163,16.36
Industry-01,Stage-06,82,1664.74,0.159,16.67
Industry-06,Stage-03,214,12636.7,0.181,23.65
Industry-06,Stage-08,98,9680.17,0.0,14.52
Industry-05,Stage-01,168,17053.74,0.098,28.44
Industry-05,Stage-07,220,6250.02,0.05,8.72
Industry-07,Stage-08,206,10582.58,0.083,27.07
Industry-07,Stage-06,177,6463.72,0.066,16.79
Industry-04,Stage-01,94,14969.97,0.23,11.34
Industry-02,Stage-02,26,9086.68,0.139,19.69
Industry-07,Stage-08,242,5149.74,0.18,11.88
Industry-06,Stage-03,182,10948.91,0.08,21.24
Industry-08,Stage-01,377,8038.97,0.0,17.685000000000002
Industry-03,Stage-04,150,4872.09,0.177,19.92
Industry-05,Stage-07,438,16435.76,0.289,24.26
Industry-07,Stage-06,363,4574.22,0.0,24.29
Industry-07,Stage-01,224,4658.33,0.235,23.0
Industry-07,Stage-05,353,17764.18,0.081,22.23
Industry-05,Stage-07,213,11425.39,0.175,21.02
Industry-03,Stage-06,95,15653.66,0.186,19.11
Industry-06,Stage-01,469,5607.45,0.076,16.65
Industry-05,Stage-05,58,35643.43,0.206,17.78
Industry-02,Stage-06,423,2608.12,0.226,21.57
Industry-04,Stage-01,251,9990.47,0.15,22.35
Industry-08,Stage-05,219,4051.77,0.05900000000000001,20.790000000000003
Industry-06,Stage-07,252,11550.05,0.101,20.25
Industry-03,Stage-02,61,12690.66,0.147,1.0
Industry-06,Stage-06,390,14542.2,0.007,4.11
Industry-03,Stage-06,54,9209.4,0.176,21.6
Industry-03,Stage-06,312,3415.05,0.191,16.83
Industry-07,Stage-02,378,12687.79,0.108,19.89
Industry-03,Stage-03,134,17451.31,0.061,27.65
Industry-01,Stage-08,124,13251.72,0.109,25.82
Industry-07,Stage-07,406,3590.98,0.191,23.18
Industry-06,Stage-07,497,2857.27,0.056,30.16
Industry-05,Stage-05,72,23668.29,0.027,29.12
Industry-06,Stage-02,163,14605.48,0.052,23.88
Industry-08,Stage-03,46,5584.34,0.020000000000000004,29.740500000000004
Industry-01,Stage-03,112,4971.11,0.171,16.55
Industry-03,Stage-01,121,14913.99,0.151,21.24
Industry-05,Stage-05,177,7003.85,0.186,19.52
Industry-02,Stage-07,48,6349.97,0.027,22.75
Industry-04,Stage-07,475,2839.93,0.142,12.71
Industry-03,Stage-01,305,13381.27,0.116,10.11
Industry-07,Stage-08,214,6419.48,0.167,13.36
Industry-05,Stage-06,195,4179.09,0.088,22.12
Industry-05,Stage-05,421,9062.37,0.104,22.94
Industry-06,Stage-03,475,7208.01,0.089,17.51
Industry-02,Stage-06,42,10165.98,0.151,26.57
Industry-08,Stage-01,395,4037.01,0.184,18.913500000000003
Industry-03,Stage-05,120,9140.05,0.054,22.09
Industry-03,Stage-08,435,32490.4,0.138,19.16
Industry-01,Stage-07,263,4503.39,0.041,19.03
Industry-04,Stage-06,91,3670.6,0.08,29.82
Industry-06,Stage-08,94,8519.39,0.183,12.24
Industry-01,Stage-01,297,7737.14,0.161,32.32
Industry-05,Stage-03,92,3237.91,0.303,23.39
Industry-03,Stage-03,466,7307.6,0.0,16.18
Industry-01,Stage-01,180,18693.36,0.152,31.9
