Feature,Segment,Users,Adoption_Rate,Retention_Rate,Support_Issues
Feature-04,Core,383,0.035,0.201,118.13
Feature-07,New,137,0.143,0.141,140.47
Feature-03,HighValue,148,0.038,0.146,162.63
Feature-04,Core,356,0.015,0.079,20.98
Feature-06,New,223,0.22,0.146,44.32
Feature-08,HighValue,341,0.040999999999999995,0.0,112.34
Feature-05,Core,422,0.187,0.05,93.65
Feature-01,HighValue,98,0.202,0.159,162.25
Feature-06,New,359,0.19,0.071,96.66
Feature-02,New,326,0.178,0.07,88.67
Feature-01,HighValue,412,0.114,0.16,157.33
Feature-04,HighValue,366,0.067,0.212,35.03
Feature-05,Core,160,0.154,0.196,161.96
Feature-02,New,474,0.08,0.19,138.85
Feature-05,New,107,0.194,0.157,77.29
Feature-06,New,108,0.209,0.0,94.01
Feature-01,New,240,0.181,0.056,107.69
Feature-08,HighValue,72,0.0,0.0,180.45
Feature-05,HighValue,201,0.208,0.207,88.74
Feature-01,HighValue,34,0.069,0.096,56.75
Feature-07,HighValue,369,0.087,0.272,44.8
Feature-04,Core,52,0.265,0.064,150.09
Feature-01,New,47,0.098,0.051,109.63
Feature-04,Core,365,0.117,0.118,89.66
Feature-04,New,148,0.209,0.264,87.44
Feature-05,New,464,0.058,0.169,82.54
Feature-04,New,441,0.013,0.159,129.57
Feature-02,New,454,0.0,0.245,108.85
Feature-04,HighValue,370,0.072,0.082,143.13
Feature-02,Core,199,0.197,0.15,74.4
Feature-01,Core,345,0.096,0.073,124.8
Feature-05,New,279,0.116,0.25,61.82
Feature-03,New,56,0.084,0.11,99.93
Feature-03,HighValue,383,0.198,0.024,78.77
Feature-01,HighValue,404,0.03,0.03,65.27
Feature-07,HighValue,188,0.098,0.126,79.0
Feature-04,Core,418,0.0,0.105,154.42
Feature-03,Core,173,0.102,0.228,113.31
Feature-02,HighValue,493,0.111,0.215,128.78
Feature-02,Core,377,0.034,0.28,114.17
Feature-05,Core,429,0.134,0.07,106.81
Feature-01,New,182,0.076,0.048,134.84
Feature-07,Core,307,0.128,0.234,43.36
Feature-02,New,136,0.072,0.0,88.11
Feature-03,Core,66,0.093,0.0,127.95
Feature-03,Core,452,0.172,0.125,85.21
Feature-06,New,37,0.026,0.222,103.84
Feature-08,New,355,0.0,0.0,94.43
Feature-04,HighValue,311,0.235,0.041,102.44
Feature-04,New,418,0.19,0.052,54.99
Feature-08,HighValue,131,0.0,0.05700000000000001,98.52
Feature-02,Core,259,0.033,0.112,50.93
Feature-02,New,441,0.0,0.122,74.64
Feature-02,Core,265,0.228,0.1,89.58
Feature-03,HighValue,432,0.075,0.017,77.11
Feature-02,HighValue,480,0.124,0.182,115.38
Feature-01,Core,345,0.213,0.121,77.36
Feature-03,New,191,0.138,0.194,108.32
Feature-06,New,166,0.157,0.159,138.79
Feature-05,Core,476,0.112,0.146,167.7
Feature-01,Core,75,0.036,0.286,84.18
Feature-03,New,297,0.116,0.067,51.55
Feature-08,New,429,0.09399999999999999,0.0,114.75
Feature-06,New,310,0.168,0.186,87.93
Feature-07,HighValue,380,0.117,0.073,56.06
Feature-01,Core,354,0.155,0.059,117.36
Feature-03,HighValue,55,0.091,0.115,104.06
Feature-05,New,434,0.194,0.075,95.63
Feature-02,Core,364,0.15,0.046,74.26
Feature-06,HighValue,498,0.21,0.0,109.2
Feature-07,HighValue,444,0.191,0.118,117.2
Feature-07,Core,350,0.05,0.218,108.6
Feature-02,HighValue,49,0.06,0.122,100.13
Feature-03,Core,174,0.089,0.053,78.17
Feature-06,HighValue,438,0.102,0.105,66.09
Feature-08,New,159,0.0,0.073,38.8
Feature-07,Core,209,0.098,0.198,123.51
Feature-07,Core,215,0.177,0.089,135.01
Feature-03,New,319,0.229,0.068,122.79
Feature-06,HighValue,365,0.041,0.04,158.14
Feature-01,New,139,0.16,0.156,37.52
Feature-07,Core,476,0.178,0.073,124.94
Feature-02,Core,120,0.143,0.136,72.8
Feature-02,Core,113,0.043,0.124,151.66
Feature-06,New,425,0.104,0.128,93.25
Feature-01,New,313,0.029,0.092,79.77
Feature-05,Core,159,0.084,0.0,87.81
Feature-05,HighValue,369,0.172,0.068,131.2
Feature-05,HighValue,429,0.0,0.0,74.39
Feature-01,New,449,0.094,0.139,119.8
Feature-08,HighValue,375,0.054000000000000006,0.16499999999999998,105.17
Feature-01,New,121,0.227,0.131,86.47
Feature-04,HighValue,127,0.0,0.044,111.69
Feature-07,New,434,0.202,0.105,86.35
Feature-04,New,215,0.096,0.342,82.7
Feature-05,Core,199,0.075,0.117,102.48
Feature-05,HighValue,105,0.061,0.165,49.74
Feature-05,HighValue,212,0.169,0.104,128.82
Feature-04,New,369,0.14,0.147,118.71
Feature-06,New,171,0.128,0.043,70.39
Feature-03,HighValue,445,0.179,0.263,123.53
Feature-06,New,82,0.117,0.097,101.75
Feature-03,Core,248,0.138,0.094,40.23
Feature-07,New,446,0.031,0.132,61.71
Feature-01,New,389,0.104,0.077,57.17
Feature-02,New,413,0.15,0.109,63.3
Feature-01,Core,344,0.0,0.009,52.54
Feature-07,New,66,0.03,0.133,83.42
Feature-01,New,494,0.146,0.111,61.92
Feature-08,New,84,0.0040000000000000036,0.0,132.18
Feature-03,New,181,0.093,0.166,129.73
Feature-04,Core,53,0.026,0.065,133.45
Feature-02,HighValue,360,0.204,0.114,55.0
Feature-08,New,440,0.0,0.0,111.89
Feature-04,Core,282,0.252,0.155,54.3
Feature-06,HighValue,305,0.134,0.168,108.03
Feature-01,HighValue,196,0.084,0.021,80.85
Feature-02,Core,332,0.169,0.155,46.54
Feature-04,HighValue,290,0.08,0.032,58.57
Feature-04,Core,361,0.06,0.032,129.18
Feature-01,Core,156,0.126,0.172,37.66
Feature-06,New,353,0.231,0.015,115.33
Feature-03,Core,284,0.1,0.097,74.07
Feature-01,New,392,0.096,0.066,60.15
Feature-04,HighValue,143,0.245,0.151,91.91
Feature-03,Core,324,0.095,0.059,55.77
Feature-02,New,459,0.114,0.145,50.0
Feature-04,Core,438,0.138,0.2,30.34
Feature-02,New,121,0.093,0.238,95.34
Feature-03,HighValue,233,0.17,0.11,76.39
Feature-08,New,481,0.051000000000000004,0.0050000000000000044,83.47
Feature-06,HighValue,426,0.0,0.174,123.6
Feature-02,HighValue,460,0.106,0.098,185.56
Feature-05,New,43,0.03,0.133,157.55
Feature-08,New,234,0.026999999999999996,0.033,89.34
Feature-08,New,277,0.0,0.037000000000000005,129.15
Feature-01,New,166,0.037,0.2,160.08
