Branch,Revenue,Profit,Growth_Rate,Complaint_Rate,Rating
Branch-08,18197.58,12063.61,0.0,0.135,3.71
Branch-03,9524.27,25246.92,0.121,0.144,4.48
Branch-01,9032.47,15159.17,0.196,0.116,3.41
Branch-01,6396.33,8056.29,0.0,0.102,3.25
Branch-02,19435.09,8313.5,0.145,0.227,3.99
Branch-07,8154.24,9638.93,0.254,0.159,3.87
Branch-03,20058.42,14741.55,0.07,0.105,4.01
Branch-01,7515.91,8614.11,0.149,0.056,4.43
Branch-03,9336.44,11215.57,0.07,0.039,4.63
Branch-03,8984.56,16096.42,0.138,0.083,3.97
Branch-03,5849.58,19659.77,0.147,0.028,3.99
Branch-02,10228.08,7584.73,0.116,0.141,3.71
Branch-02,7880.64,21636.41,0.156,0.13,4.49
Branch-05,10144.25,12943.63,0.051,0.077,3.97
Branch-02,4137.07,6095.79,0.0,0.044,3.44
Branch-04,12439.46,-301.38,0.133,0.174,4.36
Branch-04,7098.65,13469.1,0.069,0.0,4.24
Branch-05,11491.25,12269.33,0.023,0.113,4.15
Branch-07,4978.6,11787.76,0.07,0.169,3.87
Branch-04,9702.14,11265.3,0.0,0.26,3.74
Branch-08,10403.67,16513.37,0.09299999999999999,0.23700000000000002,3.38
Branch-04,6890.17,14857.05,0.181,0.117,3.83
Branch-02,4801.66,8673.82,0.167,0.089,3.74
Branch-01,36638.52,10736.03,0.086,0.034,3.52
Branch-08,5504.62,13759.02,0.15899999999999997,0.231,3.39
Branch-04,8432.6,12941.91,0.11,0.227,3.16
Branch-07,5951.79,5234.78,0.093,0.145,4.51
Branch-07,41374.77,9308.99,0.181,0.036,3.64
Branch-01,6172.83,9463.67,0.207,0.072,4.82
Branch-04,8651.9,8279.15,0.089,0.09,3.37
Branch-06,3238.37,10649.37,0.091,0.182,3.95
Branch-01,5221.26,6054.97,0.077,0.089,4.69
Branch-02,17668.55,12312.08,0.024,0.126,4.15
Branch-08,9464.4,26272.46,0.20899999999999996,0.30300000000000005,4.27
Branch-04,14192.26,9578.73,0.095,0.067,3.82
Branch-04,5203.32,7087.78,0.102,0.073,4.58
Branch-04,3174.55,12906.45,0.156,0.155,4.49
Branch-05,4769.27,15607.59,0.05,0.101,4.89
Branch-04,14394.23,15295.15,0.196,0.132,4.29
Branch-02,6005.2,13772.19,0.166,0.081,3.76
Branch-03,2605.99,20744.89,0.051,0.012,4.2
Branch-06,3703.84,17397.63,0.079,0.157,3.64
Branch-02,9101.54,5458.08,0.116,0.146,4.4
Branch-01,12092.96,17010.35,0.0,0.149,4.51
Branch-01,10643.97,12330.47,0.202,0.087,3.34
Branch-04,10335.66,19322.38,0.079,0.243,4.73
Branch-02,6941.23,6677.21,0.122,0.02,3.26
Branch-06,4799.4,10368.41,0.154,0.157,3.86
Branch-04,15181.85,13651.83,0.0,0.283,3.61
Branch-06,5915.46,19375.05,0.021,0.083,4.06
Branch-08,26215.86,14277.31,0.052000000000000005,0.261,3.9400000000000004
Branch-04,9915.46,12293.7,0.194,0.093,3.83
Branch-05,6062.84,14161.38,0.191,0.086,3.63
Branch-04,4550.94,15030.37,0.176,0.183,4.08
Branch-07,16807.54,19064.81,0.014,0.136,4.14
Branch-04,5827.06,6584.43,0.06,0.189,3.9
Branch-04,4685.42,1540.33,0.155,0.21,3.78
Branch-01,7684.34,8336.8,0.101,0.047,5.0
Branch-01,3716.18,15376.42,0.053,0.09,3.74
Branch-02,22110.36,10152.73,0.153,0.138,3.57
Branch-03,6581.09,14095.29,0.228,0.185,3.98
Branch-08,3725.6,15105.98,0.0,0.174,3.9299999999999997
Branch-02,5090.64,21154.02,0.092,0.02,4.24
Branch-05,13805.89,10810.63,0.148,0.23,4.09
Branch-02,4403.64,18358.81,0.162,0.004,3.74
Branch-08,5556.27,9724.19,0.0,0.159,3.5599999999999996
Branch-07,4999.81,10154.97,0.146,0.108,3.99
Branch-08,5412.22,10904.71,0.021999999999999992,0.25,3.38
Branch-07,10782.7,4175.29,0.184,0.072,4.05
Branch-02,22457.54,16914.74,0.103,0.171,4.13
Branch-05,11609.08,8741.37,0.143,0.145,3.44
Branch-02,3720.81,18091.78,0.144,0.09,5.0
Branch-03,6619.51,6589.58,0.051,0.076,3.56
Branch-04,9725.86,8604.18,0.14,0.006,4.01
