Segment,Accounts,ARR,Health_Score,Renewal_Rate,Ticket_Rate
New,492,22301.13,59.6,0.0,0.30100000000000005
HighValue,440,18423.07,78.6,0.225,0.088
Core,260,17461.58,74.2,0.178,0.155
Core,427,9526.28,70.6,0.087,0.13
HighValue,245,5102.5,70.0,0.128,0.088
Core,180,7354.22,74.7,0.189,0.172
New,395,24021.31,82.0,0.006999999999999992,0.332
New,36,13912.86,72.8,0.0,0.304
New,183,21834.44,87.5,0.0030000000000000027,0.21200000000000002
HighValue,394,8195.84,59.0,0.013,0.032
HighValue,456,15746.84,65.4,0.228,0.002
HighValue,184,10291.61,87.6,0.215,0.088
Core,480,16209.92,75.9,0.109,0.156
Core,196,4210.92,44.9,0.129,0.147
Core,373,11278.73,80.0,0.14,0.165
New,370,11284.64,78.9,0.018000000000000002,0.259
HighValue,400,2436.63,78.4,0.124,0.067
New,310,31222.99,97.1,0.102,0.265
Core,486,12440.26,74.6,0.036,0.217
Core,213,4174.89,65.5,0.122,0.108
New,454,8063.14,78.8,0.133,0.264
New,412,12303.65,81.6,0.09299999999999999,0.30100000000000005
New,366,8223.44,49.2,0.09599999999999999,0.151
New,399,2356.41,70.5,0.085,0.20500000000000002
New,330,5412.13,56.3,0.053000000000000005,0.28900000000000003
Core,294,4103.37,72.0,0.123,0.0
HighValue,180,5716.58,73.3,0.199,0.068
HighValue,161,4112.69,60.1,0.134,0.123
Core,428,7661.93,61.9,0.051,0.162
Core,72,6686.41,100.0,0.154,0.24
New,49,28904.5,66.1,0.078,0.159
New,388,8762.65,50.7,0.024999999999999994,0.308
New,181,6624.0,88.9,0.14,0.198
Core,58,9518.78,54.2,0.122,0.19
Core,126,5934.95,70.7,0.253,0.17
New,394,8534.39,89.8,0.06399999999999999,0.222
New,301,6691.54,71.0,0.0030000000000000027,0.23900000000000002
New,481,4033.46,77.0,0.031,0.34099999999999997
Core,62,8253.29,64.9,0.128,0.219
Core,330,6912.58,46.7,0.046,0.072
New,102,5202.68,47.5,0.05,0.187
New,262,3192.97,58.3,0.05500000000000001,0.10400000000000001
HighValue,391,4679.27,70.7,0.117,0.203
HighValue,260,7748.47,58.6,0.055,0.159
New,323,14439.29,47.4,0.05600000000000001,0.133
HighValue,279,4647.53,63.1,0.2,0.172
Core,239,8395.02,71.7,0.111,0.152
HighValue,382,13941.33,58.4,0.0,0.066
HighValue,92,7732.33,70.8,0.18,0.07
New,461,6377.06,71.1,0.08700000000000001,0.1
New,257,2374.11,74.9,0.061999999999999986,0.247
New,200,9316.94,36.6,0.0,0.183
New,432,3702.35,51.1,0.0,0.267
HighValue,34,5776.03,87.5,0.21,0.116
Core,392,4119.12,69.2,0.215,0.138
New,137,4562.29,59.6,0.017,0.165
New,107,9470.32,100.0,0.0,0.347
New,482,7758.66,73.9,0.16999999999999998,0.25
New,314,11562.55,71.8,0.03799999999999999,0.195
New,436,13417.18,85.0,0.0,0.151
HighValue,30,3034.39,64.7,0.101,0.15
Core,248,4728.57,87.2,0.168,0.138
HighValue,32,9756.13,67.7,0.221,0.139
HighValue,234,6202.51,41.3,0.078,0.193
HighValue,176,9996.57,100.0,0.191,0.121
Core,247,9203.69,90.0,0.147,0.121
New,203,17105.4,70.6,0.028999999999999998,0.125
Core,213,11034.47,73.5,0.131,0.179
New,164,4065.03,41.7,0.08900000000000001,0.194
HighValue,382,10028.01,62.7,0.194,0.069
Core,82,15270.36,72.4,0.12,0.046
HighValue,107,23199.81,58.2,0.167,0.141
Core,406,6953.41,86.7,0.103,0.105
New,478,7526.13,85.1,0.108,0.262
New,89,5678.52,74.1,0.048,0.10200000000000001
HighValue,326,13584.48,78.8,0.148,0.108
New,31,11725.07,66.6,0.044,0.192
Core,203,4407.7,54.7,0.05,0.14
HighValue,87,18019.08,75.2,0.109,0.0
HighValue,348,4463.65,66.9,0.142,0.133
Core,371,2752.93,67.1,0.148,0.258
New,496,38295.34,45.0,0.102,0.172
HighValue,99,4291.9,70.5,0.208,0.069
Core,201,6539.06,81.9,0.138,0.0
New,316,9114.22,50.3,0.0,0.267
HighValue,276,4566.59,70.6,0.063,0.108
HighValue,402,8315.53,71.2,0.057,0.064
New,144,16910.23,70.2,0.09599999999999999,0.193
HighValue,357,6575.43,74.9,0.063,0.287
Core,160,8109.14,59.7,0.16,0.128
New,217,5144.5,62.8,0.12000000000000001,0.262
New,462,3935.23,85.7,0.0,0.276
HighValue,328,5005.16,55.5,0.066,0.049
HighValue,292,9520.62,82.9,0.161,0.156
Core,327,19591.83,56.6,0.13,0.105
HighValue,298,14329.27,59.5,0.177,0.191
New,449,6202.2,68.2,0.078,0.219
Core,402,13338.12,30.2,0.151,0.018
New,341,4964.03,59.8,0.077,0.40900000000000003
Core,249,9141.19,64.8,0.168,0.203
HighValue,356,10353.36,71.7,0.031,0.132
New,243,9355.9,87.4,0.0,0.322
HighValue,365,5362.54,74.6,0.029,0.27
HighValue,379,5469.11,88.8,0.098,0.132
Core,459,4298.56,80.5,0.133,0.09
