Channel,Segment,Spend,Leads,Revenue,ROAS
Search,Core,2610.17,108,11650.0,2.924
Social,Core,1776.57,99,28760.52,2.588
Social,New,910.33,132,5096.04,1.707
Social,Core,3355.84,478,10285.39,2.122
Search,HighValue,860.81,141,9698.9,2.721
Search,New,5776.57,240,14080.22,2.239
Email,HighValue,634.3,400,18589.95,3.209
Social,HighValue,1650.57,39,7003.69,2.896
Search,Core,2647.31,426,2060.97,1.43
Social,Core,1611.75,206,4915.47,2.606
Search,New,2848.5,172,3461.28,2.523
Social,HighValue,2303.31,40,5085.98,3.218
Display,Core,788.06,138,9675.58,3.201
Search,Core,2281.74,207,4298.14,1.253
Email,HighValue,4621.42,97,10698.93,4.312
Social,HighValue,1947.3,217,13137.79,1.152
Search,Core,1415.97,497,9572.74,3.094
Email,Core,2007.09,408,13738.09,1.84
Display,HighValue,1469.46,487,18105.63,2.263
Email,Core,3558.09,65,9347.6,2.482
Display,New,1757.22,267,7327.63,3.954
Display,HighValue,4183.7,422,2114.34,2.455
Partner,HighValue,1245.73,253,9441.34,3.844
Social,New,1039.81,331,10060.33,2.987
Email,HighValue,1258.35,186,4968.48,2.532
Email,HighValue,977.51,94,11005.21,3.139
Search,New,9421.29,236,5531.83,2.64
Social,Core,1445.81,258,8245.44,4.382
Display,New,1099.91,310,8595.38,0.47
Display,Core,4366.69,340,6085.36,2.936
Display,New,1968.09,171,22520.87,0.878
Partner,HighValue,803.56,345,5333.28,2.23
Search,Core,873.07,351,4903.62,2.068
Partner,New,885.37,41,7574.58,4.319
Partner,HighValue,1725.65,236,17655.97,2.425
Email,Core,1881.36,148,7444.0,1.952
Display,New,2898.03,40,9528.99,4.396
Email,Core,2300.14,274,12075.55,3.468
Partner,HighValue,1723.25,238,6464.85,2.497
Email,New,4255.55,448,7706.3,1.819
Social,HighValue,5479.01,57,7743.3,2.744
Email,New,735.86,82,6760.17,2.429
Email,HighValue,1358.45,340,13306.26,3.056
Social,HighValue,3799.92,495,2733.64,4.843
Partner,New,1028.29,65,15304.57,0.798
Partner,New,1684.85,157,6746.99,2.636
Display,Core,2550.04,237,5175.77,1.977
Display,Core,2352.0,254,8552.38,5.038
Search,New,1464.03,466,4422.59,0.865
Social,New,5869.02,445,4077.93,3.304
Display,New,2838.21,51,8998.26,3.633
Email,Core,1227.86,467,5956.17,3.173
Display,Core,796.91,202,6303.54,1.971
Social,New,1589.71,275,3977.82,1.903
Display,HighValue,676.06,340,17981.93,3.295
Search,New,1363.71,445,14069.06,1.195
Search,Core,1916.28,158,9829.35,1.324
Social,HighValue,3188.89,488,4856.51,2.814
Display,HighValue,2793.03,184,7297.65,2.653
Display,Core,2868.89,257,13918.41,1.972
Partner,Core,1655.43,67,31052.38,1.34
Display,Core,1179.79,183,17631.94,3.382
Social,Core,1538.46,362,3975.37,1.688
Partner,HighValue,3631.2,397,2272.11,4.335
Email,HighValue,1822.06,273,6213.03,1.783
Search,New,2408.24,49,23267.13,3.763
Partner,New,2185.2,388,10847.47,2.117
Display,New,1108.63,293,10654.75,2.602
Email,Core,679.95,196,4116.49,1.561
