Campaign,Category,Orders,Revenue,Discount_Rate,Margin
Campaign-01,Category-01,161,10778.63,0.227,0.055
Campaign-06,Category-03,24,3668.07,0.056,0.151
Campaign-04,Category-07,309,13848.39,0.215,0.092
Campaign-04,Category-06,433,23391.78,0.064,0.091
Campaign-03,Category-07,38,12081.44,0.156,0.208
Campaign-02,Category-01,155,5728.83,0.13,0.16
Campaign-02,Category-05,94,8149.11,0.069,0.177
Campaign-04,Category-07,159,3303.52,0.122,0.125
Campaign-08,Category-02,202,17625.59,0.20600000000000002,0.111
Campaign-02,Category-06,427,13081.13,0.058,0.22
Campaign-08,Category-03,97,19032.58,0.131,0.182
Campaign-05,Category-03,246,12258.85,0.162,0.147
Campaign-08,Category-08,29,20875.5,0.226,0.196
Campaign-01,Category-05,296,6284.95,0.183,0.22
Campaign-03,Category-03,271,6940.89,0.111,0.094
Campaign-05,Category-01,84,8458.83,0.146,0.08
Campaign-03,Category-01,285,10046.85,0.154,0.048
Campaign-05,Category-06,309,5571.05,0.149,0.159
Campaign-03,Category-07,346,10064.74,0.076,0.212
Campaign-08,Category-08,231,6132.62,0.221,0.175
Campaign-02,Category-02,403,21463.43,0.178,0.2
Campaign-05,Category-04,211,4084.17,0.079,0.087
Campaign-01,Category-03,120,6037.32,0.173,0.209
Campaign-04,Category-08,204,14405.81,0.115,0.067
Campaign-02,Category-03,161,10089.65,0.124,0.18
Campaign-08,Category-01,188,17685.57,0.187,0.084
Campaign-08,Category-06,224,18927.31,0.183,0.209
Campaign-02,Category-04,377,8971.78,0.157,0.19
Campaign-07,Category-04,229,11051.98,0.011,0.1
Campaign-08,Category-02,388,4310.34,0.133,0.162
Campaign-01,Category-02,240,11702.23,0.158,0.119
Campaign-01,Category-03,109,20557.68,0.145,0.052
Campaign-01,Category-01,232,6834.15,0.151,0.233
Campaign-01,Category-06,62,12936.76,0.071,0.0
Campaign-06,Category-06,272,20226.76,0.157,0.236
Campaign-04,Category-04,101,4219.76,0.086,0.18
Campaign-03,Category-04,136,13331.26,0.101,0.097
Campaign-04,Category-03,496,5187.09,0.119,0.093
Campaign-01,Category-01,36,12924.05,0.177,0.113
Campaign-04,Category-07,171,10299.0,0.168,0.093
Campaign-04,Category-06,264,10303.46,0.021,0.132
Campaign-01,Category-02,421,3516.76,0.124,0.062
Campaign-04,Category-04,223,15483.46,0.214,0.156
Campaign-01,Category-01,392,12443.34,0.149,0.056
Campaign-04,Category-02,437,6564.37,0.031,0.101
Campaign-05,Category-03,429,9001.38,0.195,0.077
Campaign-06,Category-01,87,4260.08,0.165,0.122
Campaign-05,Category-08,465,3280.89,0.174,0.128
Campaign-04,Category-03,276,10481.47,0.132,0.16
Campaign-05,Category-08,195,12283.02,0.143,0.051
Campaign-07,Category-08,98,4297.45,0.079,0.102
Campaign-03,Category-06,151,9426.81,0.093,0.075
Campaign-05,Category-08,197,4456.53,0.112,0.098
Campaign-02,Category-02,242,46972.66,0.118,0.177
Campaign-05,Category-04,317,9021.8,0.176,0.086
Campaign-08,Category-08,68,5324.29,0.172,0.078
Campaign-08,Category-05,62,12040.57,0.278,0.119
Campaign-08,Category-01,469,2352.59,0.232,0.178
Campaign-01,Category-05,171,27525.06,0.071,0.099
Campaign-04,Category-03,387,3371.34,0.013,0.047
Campaign-01,Category-04,324,11681.62,0.137,0.099
Campaign-03,Category-06,175,4878.54,0.107,0.066
Campaign-03,Category-04,196,8065.79,0.206,0.031
Campaign-08,Category-01,127,15262.43,0.12000000000000001,0.141
Campaign-08,Category-04,312,3593.62,0.1,0.195
Campaign-07,Category-05,109,23786.02,0.161,0.059
Campaign-06,Category-03,321,9891.45,0.109,0.067
Campaign-03,Category-01,129,5238.05,0.081,0.198
Campaign-01,Category-02,334,14986.76,0.137,0.0
Campaign-05,Category-03,179,9768.39,0.124,0.183
Campaign-01,Category-08,434,5806.38,0.125,0.151
Campaign-06,Category-03,88,5161.23,0.173,0.18
Campaign-07,Category-02,456,7657.32,0.16,0.179
Campaign-02,Category-04,202,9053.76,0.159,0.0
Campaign-03,Category-03,36,3783.4,0.258,0.09
Campaign-03,Category-03,55,3367.71,0.141,0.195
Campaign-06,Category-04,262,7289.31,0.064,0.141
Campaign-03,Category-03,491,13024.7,0.113,0.0
Campaign-05,Category-02,165,24099.61,0.147,0.018
Campaign-03,Category-04,78,20708.63,0.169,0.159
Campaign-08,Category-01,372,9542.51,0.14600000000000002,0.0
Campaign-03,Category-07,162,8817.54,0.018,0.112
Campaign-05,Category-06,177,7785.69,0.146,0.15
Campaign-05,Category-05,295,24553.22,0.171,0.085
Campaign-06,Category-02,311,2809.19,0.05,0.151
Campaign-06,Category-06,338,6528.83,0.04,0.204
Campaign-05,Category-03,402,12041.83,0.142,0.144
Campaign-05,Category-01,405,10162.44,0.228,0.13
Campaign-08,Category-08,101,10886.02,0.267,0.006
Campaign-02,Category-02,277,9439.37,0.07,0.04
Campaign-08,Category-05,155,3694.53,0.23800000000000002,0.184
Campaign-01,Category-02,125,18743.97,0.186,0.038
Campaign-03,Category-03,396,8690.43,0.172,0.116
Campaign-02,Category-02,157,15356.26,0.087,0.081
Campaign-08,Category-07,407,5139.62,0.364,0.042
Campaign-01,Category-02,107,2999.06,0.046,0.08
Campaign-08,Category-02,337,2238.55,0.262,0.124
Campaign-01,Category-02,350,13935.66,0.0,0.103
Campaign-05,Category-05,348,10696.22,0.021,0.017
Campaign-07,Category-02,448,4087.45,0.091,0.097
Campaign-06,Category-07,41,7898.49,0.229,0.169
Campaign-06,Category-01,231,12338.17,0.099,0.205
Campaign-07,Category-04,311,8542.63,0.187,0.093
Campaign-07,Category-04,348,5682.93,0.071,0.27
Campaign-02,Category-05,223,15961.56,0.153,0.04
Campaign-06,Category-07,290,9671.15,0.102,0.187
Campaign-03,Category-04,389,5008.73,0.094,0.18
Campaign-02,Category-02,497,9178.54,0.151,0.049
Campaign-02,Category-04,122,9761.61,0.241,0.213
Campaign-06,Category-01,92,17324.08,0.127,0.061
Campaign-01,Category-07,309,10484.23,0.182,0.144
Campaign-04,Category-01,256,15005.25,0.122,0.153
Campaign-07,Category-07,272,3639.6,0.192,0.05
Campaign-05,Category-05,155,12311.07,0.123,0.088
Campaign-02,Category-03,151,10335.65,0.065,0.131
Campaign-07,Category-05,447,5706.67,0.093,0.188
Campaign-08,Category-07,241,15551.94,0.1,0.147
Campaign-02,Category-07,481,5046.54,0.105,0.095
Campaign-02,Category-01,64,2468.43,0.085,0.161
Campaign-07,Category-06,339,12970.31,0.116,0.14
Campaign-05,Category-03,81,6496.16,0.0,0.118
Campaign-06,Category-02,39,8600.49,0.309,0.131
Campaign-01,Category-01,169,3583.77,0.0,0.091
Campaign-08,Category-06,277,7541.89,0.163,0.0
Campaign-06,Category-03,273,16185.13,0.147,0.066
Campaign-03,Category-01,497,4401.47,0.097,0.221
Campaign-08,Category-03,286,12560.93,0.321,0.177
Campaign-02,Category-07,71,4153.27,0.255,0.0
Campaign-06,Category-05,459,6854.9,0.0,0.074
Campaign-01,Category-03,277,1562.63,0.05,0.134
Campaign-05,Category-04,313,7971.44,0.179,0.1
Campaign-01,Category-01,429,16349.73,0.119,0.088
Campaign-01,Category-07,238,11684.41,0.169,0.161
Campaign-08,Category-02,418,6608.55,0.304,0.126
Campaign-06,Category-06,348,5423.9,0.189,0.094
Campaign-01,Category-01,258,11961.42,0.055,0.127
Campaign-06,Category-08,101,6001.83,0.148,0.053
Campaign-02,Category-02,433,4662.61,0.073,0.158
Campaign-05,Category-07,494,7288.3,0.119,0.166
Campaign-03,Category-08,123,4597.48,0.022,0.176
