Service_Line,Visits,Revenue,Wait_Time,No_Show_Rate,Satisfaction
Service Line-08,177,4462.96,22.4775,0.16,3.36
Service Line-05,398,966.59,24.64,0.158,3.61
Service Line-06,356,5020.87,5.82,0.208,4.38
Service Line-07,102,8113.14,30.62,0.138,3.72
Service Line-01,455,3338.16,21.07,0.171,3.47
Service Line-05,280,7200.68,15.75,0.217,3.38
Service Line-08,283,14549.85,20.601000000000003,0.178,4.04
Service Line-04,102,4133.17,5.06,0.153,4.33
Service Line-02,187,10252.59,21.68,0.048,4.26
Service Line-06,307,5979.43,14.99,0.086,4.15
Service Line-02,382,14119.89,24.03,0.049,4.29
Service Line-01,288,4455.09,12.71,0.101,3.98
Service Line-05,306,12852.3,19.31,0.074,4.64
Service Line-08,325,9365.04,17.469,0.164,3.32
Service Line-08,173,20274.73,29.6865,0.139,3.28
Service Line-01,131,5955.79,6.39,0.08,4.16
Service Line-01,332,20231.29,22.5,0.0,4.02
Service Line-03,257,3874.96,18.88,0.231,4.82
Service Line-06,322,13684.21,19.43,0.101,4.68
Service Line-02,484,7542.94,17.96,0.198,3.33
Service Line-05,82,6385.38,20.5,0.085,4.38
Service Line-04,498,7637.52,19.79,0.161,4.32
Service Line-01,263,13784.5,35.99,0.263,4.83
Service Line-02,133,15219.94,27.96,0.176,4.28
Service Line-04,459,22323.62,11.73,0.105,4.59
Service Line-01,93,7313.57,22.29,0.212,3.59
Service Line-05,220,6497.29,32.05,0.057,4.06
Service Line-07,278,4325.48,18.35,0.218,4.29
Service Line-03,116,8959.43,24.06,0.068,3.84
Service Line-04,179,9205.68,21.45,0.105,3.76
Service Line-07,398,6104.45,15.43,0.186,3.72
Service Line-06,436,13896.78,18.24,0.103,4.0
Service Line-01,382,4374.23,10.25,0.115,4.2
Service Line-08,28,5837.04,26.797500000000003,0.152,4.28
Service Line-04,149,5095.31,20.27,0.141,3.98
Service Line-01,407,3763.67,14.99,0.121,3.45
Service Line-01,108,8131.47,13.83,0.276,4.47
Service Line-08,489,9094.61,15.849000000000002,0.241,3.46
Service Line-01,373,4177.21,21.66,0.066,3.85
Service Line-02,256,22415.71,20.15,0.086,4.14
Service Line-07,474,13918.4,26.01,0.189,4.32
Service Line-08,67,7759.77,12.069,0.20600000000000002,3.9800000000000004
Service Line-07,374,11188.18,38.84,0.004,3.49
Service Line-01,158,4742.53,14.69,0.193,3.63
Service Line-06,361,29088.61,29.71,0.088,4.18
Service Line-08,343,8825.08,8.91,0.29200000000000004,3.21
Service Line-02,228,3809.35,29.11,0.132,4.96
Service Line-04,409,4202.18,14.97,0.048,4.07
Service Line-01,341,5242.17,9.96,0.117,4.53
Service Line-02,468,3865.38,17.85,0.0,4.3
Service Line-08,152,10265.78,41.742000000000004,0.249,2.68
Service Line-01,316,2762.83,17.07,0.139,4.13
Service Line-02,173,13808.93,15.84,0.0,4.44
Service Line-07,241,11530.59,24.0,0.209,3.33
Service Line-07,338,14052.89,20.58,0.027,3.84
Service Line-07,119,9499.83,26.32,0.153,4.38
Service Line-08,53,15228.73,27.688500000000005,0.126,2.96
Service Line-01,372,6296.01,24.2,0.134,3.4
Service Line-07,389,3648.72,12.56,0.126,4.19
Service Line-01,27,7561.1,19.06,0.144,4.13
Service Line-04,93,11125.22,19.09,0.114,3.41
Service Line-04,134,6678.41,13.29,0.182,3.74
Service Line-04,284,6592.83,19.17,0.018,3.92
Service Line-06,153,6664.72,9.02,0.114,4.06
Service Line-07,253,9224.73,21.53,0.145,3.7
Service Line-06,132,6589.83,22.97,0.095,4.65
Service Line-08,159,7883.52,26.055000000000003,0.20800000000000002,4.1
Service Line-04,249,11165.28,29.84,0.034,3.92
Service Line-02,246,7968.78,11.99,0.055,3.19
Service Line-05,380,9717.7,17.75,0.0,4.09
Service Line-07,420,15215.81,26.15,0.063,4.1
Service Line-08,347,8100.13,17.617500000000003,0.23,3.2
Service Line-08,408,7437.22,28.741500000000002,0.29800000000000004,2.85
Service Line-06,156,22335.07,19.3,0.147,3.54
Service Line-08,300,4449.15,16.861500000000003,0.189,3.5300000000000002
Service Line-04,94,2420.97,14.62,0.109,4.24
Service Line-06,427,2198.0,4.03,0.017,4.14
Service Line-07,160,5929.11,19.31,0.154,3.78
Service Line-04,246,13419.88,2.8,0.162,4.26
Service Line-05,57,17379.58,21.65,0.096,4.39
Service Line-03,207,3696.52,15.51,0.185,4.42
Service Line-02,372,8159.73,30.66,0.045,4.25
Service Line-03,220,4035.66,27.77,0.172,3.78
Service Line-07,239,7257.84,16.75,0.243,4.28
Service Line-06,421,17101.67,17.65,0.082,4.01
Service Line-02,253,9923.02,15.29,0.13,4.19
Service Line-01,219,52697.76,21.15,0.17,4.02
Service Line-02,342,14922.33,3.24,0.11,4.66
Service Line-07,392,9877.04,14.82,0.094,4.06
Service Line-01,74,4880.85,17.89,0.038,4.67
Service Line-02,165,8819.17,40.99,0.12,4.24
Service Line-03,124,6540.96,14.44,0.078,4.89
Service Line-01,257,2990.73,16.59,0.14,3.81
Service Line-07,174,3839.64,23.91,0.145,3.36
Service Line-06,214,4958.78,25.83,0.284,3.9
Service Line-01,353,3271.52,8.46,0.174,4.4
Service Line-05,47,9579.0,14.58,0.108,4.56
Service Line-07,20,11662.41,17.28,0.144,3.87
Service Line-03,381,4614.47,22.24,0.146,4.42
Service Line-03,35,3455.42,18.57,0.183,4.23
Service Line-07,43,8264.81,28.45,0.094,3.14
Service Line-05,151,11931.27,23.23,0.188,3.58
Service Line-05,189,22090.1,13.28,0.265,3.97
Service Line-03,350,4611.0,4.37,0.195,4.07
Service Line-03,218,8112.76,17.44,0.057,3.42
Service Line-08,410,5502.72,27.864000000000004,0.223,3.9699999999999998
Service Line-03,128,9686.2,21.98,0.212,4.7
Service Line-06,130,6398.14,24.33,0.081,3.53
Service Line-08,85,3263.14,38.34,0.218,3.41
Service Line-08,50,16317.89,41.958,0.182,2.84
Service Line-05,393,9657.61,11.1,0.215,3.7
