Branch,Customer_Segment,Orders,Revenue,Profit,Rating,Repeat_Purchase_Rate,Complaint_Rate,Service_Time_Min
Branch-12,New,239,103592.48,31981.39,4.49,0.341,0.032,9.72
Branch-11,Premium,196,159906.6,43631.38,3.54,0.086,0.058,14.47
Branch-11,Regular,235,130230.31,27250.25,3.33,0.33,0.08,12.38
Branch-11,Regular,45,24541.59,6696.84,3.67,0.247,0.049,9.97
Branch-08,New,60,23901.86,6433.59,4.45,0.232,0.032,9.22
Branch-04,Premium,119,109232.53,22359.33,3.99,0.474,0.061,8.33
Branch-11,New,41,15995.4,3222.78,3.56,0.093,0.058,11.96
Branch-08,Regular,239,135290.71,28173.21,4.16,0.331,0.054,9.71
Branch-11,Regular,114,56699.49,12366.08,3.62,0.139,0.094,13.14
Branch-11,Regular,143,76747.53,13828.41,3.44,0.249,0.067,12.36
Branch-08,Premium,68,62453.8,11628.76,3.99,0.311,0.048,9.61
Branch-03,New,86,39687.73,10218.69,3.64,0.222,0.055,14.12
Branch-03,Premium,216,170702.09,23713.04,3.69,0.379,0.074,14.43
Branch-04,Regular,75,41586.59,12996.94,4.17,0.307,0.027,9.04
Branch-06,Regular,76,39270.76,11178.62,4.09,0.367,0.005,7.34
Branch-11,Regular,189,98512.13,21341.8,2.97,0.226,0.118,9.76
Branch-05,Regular,59,29993.56,6105.74,4.6,0.325,0.05,7.0
Branch-07,Regular,110,54540.62,9182.38,3.1,0.357,0.055,11.59
Branch-07,Regular,112,57221.08,12401.76,4.13,0.247,0.1,13.33
Branch-03,Regular,173,92958.03,20769.16,3.17,0.225,0.1,9.45
Branch-04,New,200,88289.12,25835.34,3.68,0.314,0.039,7.5
Branch-10,Premium,90,70461.81,17899.18,3.82,0.4,0.068,5.37
Branch-05,Regular,198,106449.02,23802.78,3.89,0.481,0.062,11.54
Branch-08,Regular,146,68976.06,16936.54,4.12,0.328,0.065,7.36
Branch-06,Regular,129,62044.82,14723.97,4.05,0.238,0.021,7.8
Branch-03,Regular,139,73349.94,9059.06,3.92,0.2,0.094,10.47
Branch-11,Regular,235,120179.03,22489.29,3.51,0.225,0.062,9.21
Branch-04,Regular,67,35322.11,11188.77,3.84,0.334,0.041,5.75
Branch-03,Premium,51,42797.6,9854.97,3.61,0.193,0.075,11.84
Branch-08,New,142,58885.69,13224.67,4.09,0.404,0.054,3.0
Branch-11,Regular,192,99304.51,19890.9,3.32,0.342,0.063,8.64
Branch-04,New,251,111964.78,28891.98,4.69,0.348,0.046,10.2
Branch-12,New,206,79539.84,23581.62,4.11,0.454,0.053,8.79
Branch-03,New,60,27559.51,4117.82,3.7,0.135,0.072,12.42
Branch-08,Regular,73,39589.18,12361.95,3.65,0.299,0.033,6.82
Branch-03,New,171,69531.56,13396.09,3.69,0.181,0.092,13.73
Branch-11,New,40,15381.05,3964.66,3.89,0.29,0.079,12.25
Branch-11,New,120,48662.07,10357.92,3.8,0.116,0.096,13.59
Branch-04,New,204,80897.54,25451.19,3.8,0.388,0.064,7.5
Branch-10,Premium,238,209355.1,40127.73,3.97,0.283,0.029,6.93
Branch-04,Regular,95,49345.3,10643.48,3.69,0.498,0.042,4.64
Branch-11,New,156,66984.73,8294.39,3.29,0.396,0.082,13.8
Branch-05,Regular,192,108162.34,24095.08,4.93,0.144,0.016,9.25
Branch-10,Regular,223,112003.37,34832.43,3.52,0.386,0.03,5.49
Branch-03,Regular,127,69637.31,13378.42,3.7,0.406,0.091,11.65
Branch-07,Regular,143,76529.23,16182.72,3.79,0.14,0.119,11.39
Branch-08,New,58,24015.13,7160.24,3.44,0.313,0.032,10.28
Branch-04,New,57,26153.13,5297.85,4.2,0.322,0.057,6.9
Branch-11,Regular,41,22137.0,3814.79,3.95,0.248,0.092,10.93
Branch-04,New,196,87012.13,18871.99,4.73,0.402,0.025,9.73
Branch-01,New,238,102868.38,26181.09,4.13,0.314,0.047,10.98
Branch-08,New,85,32449.57,9445.27,4.5,0.428,0.046,7.05
Branch-12,New,172,67203.25,12289.0,4.18,0.429,0.045,13.09
Branch-12,Regular,140,66317.11,20717.36,4.26,0.267,0.036,6.14
Branch-10,Premium,67,55300.51,11836.87,4.15,0.366,0.04,7.36
Branch-08,New,172,79297.4,22391.55,4.3,0.49,0.026,8.14
Branch-07,Premium,67,61439.72,10201.69,3.71,0.158,0.088,8.62
Branch-05,New,104,43391.6,11250.68,3.99,0.252,0.05,6.86
Branch-01,New,222,93630.41,20265.89,3.93,0.336,0.028,8.02
Branch-10,Premium,255,202667.44,59605.69,4.47,0.321,0.067,8.44
Branch-08,New,149,60074.48,12344.39,4.18,0.471,0.035,8.77
Branch-09,New,176,67550.68,16755.81,4.09,0.401,0.047,9.48
Branch-01,Regular,47,23464.0,7097.61,4.43,0.383,0.03,11.07
Branch-06,Premium,193,180409.4,56816.59,4.7,0.299,0.058,5.99
Branch-05,Regular,100,53130.55,16028.65,3.88,0.211,0.076,6.83
Branch-07,Regular,43,22355.19,5625.56,3.03,0.122,0.106,10.53
Branch-06,New,169,65276.32,17964.83,3.73,0.394,0.053,10.46
Branch-09,Regular,139,73109.37,21408.85,4.52,0.388,0.03,12.16
Branch-12,Regular,239,115081.1,34561.16,3.61,0.23,0.043,9.93
Branch-04,Premium,202,164600.79,38092.92,4.58,0.419,0.042,8.88
Branch-02,Regular,172,83659.27,25598.42,4.13,0.244,0.016,9.14
Branch-10,New,133,55290.63,15346.43,4.11,0.497,0.065,9.86
Branch-06,Regular,131,62877.76,15693.19,3.81,0.245,0.024,6.63
Branch-04,New,75,32614.53,10284.48,4.08,0.172,0.041,10.91
Branch-03,Premium,183,141728.04,29134.12,4.03,0.304,0.063,15.42
Branch-12,New,171,74342.72,17581.6,4.22,0.243,0.042,8.76
Branch-09,New,243,106593.0,33632.39,4.31,0.408,0.084,11.14
Branch-08,New,73,31959.12,10044.24,4.17,0.388,0.033,7.9
Branch-03,Regular,228,117571.2,17658.76,3.09,0.097,0.073,12.74
Branch-10,Regular,198,107632.91,20519.87,4.21,0.472,0.04,9.3
Branch-09,Regular,116,58519.75,14937.44,3.52,0.282,0.066,6.43
Branch-10,New,167,63851.27,14882.69,3.96,0.373,0.078,5.82
Branch-11,New,46,17497.28,3918.41,4.08,0.3,0.094,11.66
Branch-08,New,46,20073.17,5912.79,3.81,0.332,0.051,9.1
Branch-06,Regular,96,53645.01,9672.73,4.3,0.543,0.054,7.44
Branch-03,New,250,95398.75,19758.66,3.32,0.3,0.067,11.51
Branch-11,Premium,88,78432.82,18769.08,3.59,0.165,0.102,9.92
Branch-04,New,52,22200.08,6755.07,3.76,0.589,0.06,8.73
Branch-09,New,46,17512.26,4098.43,4.09,0.326,0.076,7.61
Branch-11,Premium,81,75346.65,10853.87,3.76,0.274,0.09,15.08
Branch-06,Regular,222,110916.47,24849.58,3.45,0.409,0.022,3.7
Branch-08,Premium,216,167212.85,49396.82,3.52,0.326,0.061,8.8
Branch-06,New,139,54785.57,17426.53,4.41,0.327,0.073,7.89
Branch-10,Regular,213,99700.68,20603.05,4.0,0.477,0.04,8.41
Branch-10,New,78,32556.73,10086.77,4.19,0.43,0.027,7.75
Branch-02,New,147,57215.31,14204.91,4.07,0.298,0.051,8.67
Branch-03,Premium,240,210958.29,25859.27,3.92,0.194,0.067,15.56
Branch-08,Regular,145,82819.03,17589.08,4.1,0.336,0.03,7.46
Branch-05,Regular,148,69998.6,19989.13,4.13,0.4,0.012,5.73
Branch-02,Regular,109,55780.02,14126.78,4.69,0.376,0.044,9.74
Branch-12,New,213,81812.84,17505.24,3.97,0.406,0.029,7.08
Branch-07,New,247,105487.51,16282.8,3.76,0.254,0.092,14.67
Branch-07,Regular,247,128597.76,27053.25,4.06,0.232,0.09,9.74
Branch-06,New,85,36867.92,7758.87,3.53,0.464,0.055,7.91
Branch-04,Regular,224,115599.26,36847.89,4.8,0.31,0.061,7.67
Branch-08,Premium,228,176689.32,41788.05,3.65,0.387,0.039,8.41
Branch-01,Regular,81,40623.75,9051.18,4.62,0.355,0.056,8.15
Branch-04,Regular,200,101889.6,32248.38,4.19,0.353,0.069,6.35
Branch-06,Regular,163,86457.16,17299.67,4.27,0.191,0.05,3.0
Branch-06,New,109,45250.8,10272.91,3.98,0.334,0.031,7.52
Branch-04,Regular,175,99137.59,21276.6,4.16,0.337,0.049,8.07
Branch-08,Regular,144,79671.23,17440.16,3.84,0.443,0.03,7.29
Branch-11,New,143,56725.58,11705.88,3.43,0.277,0.072,9.05
Branch-03,Premium,141,113993.99,21089.89,4.21,0.083,0.074,9.88
Branch-07,Regular,127,67512.6,11908.43,3.8,0.26,0.088,10.92
Branch-06,Regular,149,75265.19,16153.67,4.45,0.421,0.066,7.84
Branch-01,New,69,27375.75,6117.15,4.63,0.253,0.073,7.39
Branch-08,New,215,83902.13,19003.57,3.56,0.445,0.07,3.0
Branch-09,Premium,198,176919.1,46422.28,4.29,0.485,0.058,7.82
Branch-01,New,83,34398.17,9877.21,3.72,0.379,0.05,9.53
Branch-11,New,160,68608.84,14278.33,3.13,0.288,0.074,16.06
Branch-11,New,119,52840.89,12526.58,3.48,0.139,0.056,11.95
Branch-03,Regular,67,33187.78,5905.31,3.37,0.195,0.079,9.83
Branch-04,New,45,17415.37,3689.17,3.93,0.4,0.041,6.0
Branch-05,Regular,188,98254.95,29735.14,3.61,0.292,0.047,9.16
Branch-10,Premium,202,161747.86,42942.17,4.52,0.356,0.048,6.2
Branch-10,Regular,200,103118.44,25503.59,3.71,0.24,0.013,5.75
Branch-06,Premium,47,39736.29,12087.69,4.06,0.526,0.064,5.89
Branch-04,Regular,99,51625.38,13744.48,4.59,0.211,0.034,10.94
Branch-07,Regular,224,109001.28,20229.93,3.29,0.254,0.052,11.49
Branch-10,New,240,93914.96,21659.99,4.13,0.299,0.06,7.17
Branch-02,Regular,229,109885.23,22925.47,4.14,0.294,0.062,5.96
Branch-09,New,186,84711.18,15327.91,4.02,0.442,0.05,8.45
Branch-01,New,238,91897.67,22240.61,4.66,0.384,0.046,5.32
Branch-03,Premium,125,98773.69,25178.69,3.43,0.142,0.077,13.51
Branch-11,New,216,95438.75,13360.03,3.89,0.183,0.122,13.12
Branch-11,Premium,177,152244.19,36308.99,3.73,0.322,0.111,13.66
Branch-09,New,60,27049.59,5825.42,4.75,0.42,0.024,4.57
Branch-09,Regular,80,39380.41,12415.67,3.92,0.361,0.032,8.82
Branch-10,New,134,59564.47,18490.84,4.39,0.268,0.027,7.12
Branch-03,New,96,37064.17,8270.5,3.35,0.131,0.094,13.99
Branch-02,Regular,159,89778.16,25382.68,3.63,0.325,0.031,10.9
Branch-12,Regular,91,47419.96,14602.47,3.46,0.516,0.051,6.42
Branch-02,Regular,131,73297.0,14053.47,4.06,0.352,0.037,10.93
Branch-06,Regular,145,81097.44,22577.68,4.58,0.308,0.049,9.67
Branch-05,New,145,56833.21,12965.69,3.5,0.396,0.029,5.4
Branch-04,Regular,48,27209.06,7975.74,4.16,0.345,0.048,10.89
Branch-04,Regular,205,109354.78,21344.62,4.29,0.453,0.047,4.04
Branch-03,New,47,19568.9,3735.76,3.49,0.235,0.091,10.39
Branch-06,New,69,29521.02,5481.59,4.64,0.463,0.057,9.27
Branch-10,New,125,56007.01,17719.33,4.23,0.422,0.043,7.32
Branch-06,Regular,126,64466.58,12483.58,3.64,0.375,0.046,10.49
Branch-11,New,57,22043.74,3125.14,3.62,0.362,0.065,13.4
Branch-09,Regular,70,35716.62,9078.48,4.17,0.276,0.058,7.0
Branch-02,Regular,190,89158.34,19671.22,3.66,0.411,0.024,6.99
Branch-12,Regular,105,51836.59,11383.96,4.4,0.324,0.005,9.09
Branch-11,Regular,57,30942.02,3917.47,3.77,0.336,0.118,7.63
Branch-10,New,94,35856.48,7109.82,4.45,0.322,0.047,9.25
Branch-11,New,68,30463.37,6922.07,3.93,0.25,0.078,14.13
Branch-08,New,122,51993.57,16336.81,3.95,0.259,0.032,6.66
Branch-12,Premium,80,64584.75,14710.9,4.35,0.434,0.031,10.28
Branch-08,Regular,53,28794.68,8937.61,3.95,0.264,0.047,8.41
Branch-09,New,131,55886.06,13206.52,4.42,0.465,0.041,9.14
Branch-10,New,171,65115.1,19942.64,4.02,0.363,0.051,6.45
Branch-11,Regular,238,118381.93,26181.65,4.55,0.342,0.104,12.93
Branch-05,New,183,84283.77,25694.18,4.47,0.382,0.045,5.83
Branch-03,Regular,110,61348.32,9578.36,3.8,0.294,0.072,16.97
Branch-11,Premium,129,108839.84,20911.57,4.12,0.347,0.072,11.06
Branch-03,Premium,177,139026.2,35185.31,3.78,0.158,0.088,15.23
Branch-01,New,209,90093.21,26082.61,4.06,0.401,0.06,8.73
Branch-10,Premium,118,93467.13,23667.18,4.58,0.48,0.061,7.6
Branch-11,New,72,27907.0,3614.87,3.28,0.251,0.06,9.67
Branch-01,New,83,36251.44,7999.52,3.91,0.37,0.054,12.86
Branch-08,Premium,71,54710.32,17170.09,3.87,0.432,0.037,9.52
Branch-01,New,163,67438.78,13090.84,3.81,0.279,0.049,7.34
Branch-06,Regular,89,42483.73,9274.68,4.0,0.446,0.005,8.93
Branch-03,Regular,210,103119.39,24436.8,4.33,0.235,0.104,11.82
Branch-04,New,131,57964.62,14917.33,3.86,0.405,0.022,6.64
Branch-02,New,220,88726.25,23552.06,4.2,0.22,0.033,10.51
Branch-09,New,98,39342.52,9634.25,4.55,0.305,0.057,6.11
Branch-08,Regular,117,60219.15,11159.26,4.06,0.297,0.033,9.53
Branch-06,Regular,168,95928.27,20082.19,4.03,0.338,0.037,11.65
Branch-08,Regular,159,76721.86,16232.79,4.42,0.482,0.044,8.03
Branch-12,Regular,114,55689.67,11546.83,4.87,0.347,0.042,7.8
Branch-11,New,123,49543.45,11892.49,3.68,0.145,0.069,14.94
Branch-01,New,149,59450.42,18491.1,3.62,0.405,0.08,7.34
Branch-06,New,71,31280.45,7413.76,3.59,0.333,0.061,6.46
Branch-02,Regular,167,84338.8,24565.87,4.02,0.38,0.042,10.06
Branch-10,Premium,101,83266.67,16448.96,3.38,0.328,0.049,7.47
Branch-05,Regular,228,119030.83,36324.69,3.77,0.307,0.05,3.81
Branch-01,Premium,107,92328.57,25512.44,4.39,0.347,0.069,7.11
Branch-01,New,57,22236.13,6690.79,3.51,0.392,0.042,6.94
Branch-05,New,45,18295.33,5099.27,3.83,0.332,0.033,5.91
Branch-05,Premium,103,78933.93,21084.6,4.21,0.297,0.039,10.43
Branch-11,New,77,34301.09,5597.35,3.85,0.345,0.097,14.86
Branch-11,Regular,204,114644.59,27107.14,3.91,0.3,0.077,11.27
Branch-02,Premium,250,210257.91,62033.0,4.71,0.446,0.065,9.25
Branch-10,New,171,78434.65,18743.66,4.21,0.368,0.057,6.77
Branch-07,Regular,82,42124.55,8204.14,3.43,0.255,0.07,13.01
Branch-07,Premium,44,35827.07,6085.8,3.26,0.402,0.07,11.02
Branch-10,Regular,83,42177.26,11316.76,3.79,0.451,0.055,6.72
Branch-08,New,224,87625.67,19925.18,3.09,0.222,0.056,8.05
Branch-05,Regular,52,26562.09,5868.11,4.12,0.383,0.014,4.7
Branch-08,Premium,238,213415.72,53170.87,4.29,0.421,0.066,6.39
Branch-06,Regular,152,81851.25,19466.86,4.13,0.151,0.065,8.36
Branch-10,Regular,53,28940.63,7562.87,4.44,0.362,0.054,8.17
Branch-10,Premium,104,82572.17,20241.57,3.88,0.494,0.052,9.48
Branch-09,Regular,62,34834.32,11042.52,4.05,0.322,0.044,3.36
Branch-05,Regular,171,89874.87,25862.43,4.35,0.31,0.043,8.81
Branch-03,Regular,70,35722.05,8406.58,3.45,0.407,0.082,11.63
