Route,Shipments,Revenue,Delay_Rate,Cost,Damage_Rate
Route-03,153,6036.45,0.039,815.57,0.06
Route-01,491,5258.4,0.117,1548.32,0.105
Route-02,276,11620.16,0.235,2156.54,0.156
Route-05,46,17563.52,0.081,1848.44,0.148
Route-08,68,7315.1,0.10600000000000001,1891.8,0.151
Route-01,71,5917.56,0.08,1552.25,0.048
Route-06,326,5068.11,0.107,1041.58,0.035
Route-01,460,32857.44,0.158,1830.97,0.095
Route-02,437,7563.95,0.082,3592.23,0.164
Route-08,264,10953.82,0.272,3623.86,0.197
Route-05,212,8872.66,0.089,4105.02,0.103
Route-06,353,3147.37,0.201,1188.46,0.032
Route-08,253,12301.24,0.203,1580.32,0.20800000000000002
Route-08,275,8989.54,0.179,1967.19,0.14200000000000002
Route-03,103,3224.15,0.021,1261.66,0.083
Route-05,39,7166.68,0.022,1768.46,0.039
Route-02,162,4456.77,0.216,2857.76,0.128
Route-01,266,2314.81,0.197,1271.58,0.0
Route-01,106,5246.93,0.074,2027.62,0.13
Route-01,25,18440.1,0.175,2194.91,0.108
Route-03,176,4169.41,0.068,1875.21,0.119
Route-05,302,5903.23,0.113,1600.76,0.182
Route-05,499,9266.16,0.052,1145.3,0.002
Route-07,27,4442.66,0.102,831.08,0.155
Route-08,343,11427.93,0.1,1223.17,0.117
Route-03,354,5913.53,0.117,2153.62,0.059
Route-08,25,4763.61,0.381,2509.97,0.21100000000000002
Route-05,63,12406.61,0.231,1864.67,0.135
Route-02,28,5877.53,0.145,2590.96,0.233
Route-02,53,4845.93,0.033,1150.81,0.168
Route-02,351,9525.48,0.031,1692.08,0.071
Route-03,97,7792.54,0.0,1318.06,0.246
Route-03,458,5124.02,0.1,2037.61,0.192
Route-05,199,4467.52,0.122,3519.92,0.011
Route-03,91,19290.97,0.199,1904.92,0.133
Route-05,277,11143.49,0.127,1538.46,0.195
Route-08,229,12093.76,0.248,2428.38,0.28200000000000003
Route-01,269,3771.92,0.149,428.55,0.169
Route-02,232,6624.17,0.011,692.58,0.119
Route-06,461,23094.92,0.077,1354.47,0.048
Route-01,296,3833.53,0.36,1795.96,0.148
Route-08,394,7735.33,0.20700000000000002,2123.68,0.1
Route-06,391,5630.8,0.111,2534.1,0.017
Route-04,327,7347.58,0.0,2328.97,0.171
Route-08,262,11836.99,0.179,1132.08,0.134
Route-04,326,14546.07,0.059,1847.67,0.092
Route-08,139,8748.7,0.29100000000000004,962.99,0.14800000000000002
Route-04,286,5431.72,0.163,1597.81,0.0
Route-01,365,5600.23,0.162,2162.25,0.084
Route-05,273,5343.45,0.136,1642.27,0.0
Route-05,406,10321.76,0.126,788.7,0.156
Route-01,384,11273.79,0.049,3304.47,0.074
Route-08,435,9177.37,0.20700000000000002,1381.85,0.218
Route-06,164,2773.19,0.095,1682.21,0.12
Route-01,471,5528.09,0.114,1501.63,0.055
Route-03,326,6487.36,0.21,1524.98,0.183
Route-01,115,11300.19,0.151,4715.01,0.0
Route-03,59,12334.08,0.121,1215.59,0.124
Route-02,360,5109.65,0.156,2499.46,0.1
Route-08,168,16951.3,0.172,1520.29,0.21100000000000002
Route-07,176,8036.5,0.059,1438.78,0.056
Route-04,68,9957.91,0.166,3305.19,0.105
Route-07,238,5606.68,0.112,3836.89,0.195
Route-08,336,8489.79,0.279,1420.96,0.273
Route-05,137,9707.01,0.067,3937.47,0.175
Route-04,139,3950.18,0.058,1856.75,0.186
Route-02,385,4793.61,0.2,2325.06,0.143
Route-02,196,15575.16,0.041,2347.36,0.108
Route-02,353,6152.89,0.133,3640.1,0.106
Route-08,332,16641.41,0.249,1651.76,0.18
Route-04,289,4657.13,0.014,3905.76,0.105
Route-02,419,10493.29,0.255,1546.51,0.105
Route-03,143,4477.26,0.173,858.98,0.065
Route-02,131,6968.42,0.052,1115.58,0.034
Route-05,202,8953.22,0.161,2007.41,0.046
Route-05,264,4514.9,0.149,2533.03,0.068
Route-05,83,4055.79,0.163,1590.97,0.094
Route-08,431,3871.75,0.347,3087.68,0.154
Route-06,350,9572.64,0.209,2000.51,0.153
Route-08,164,11307.15,0.1,3172.79,0.186
Route-04,227,7022.74,0.201,2588.16,0.193
Route-02,290,3758.72,0.219,1331.86,0.14
Route-04,257,4148.93,0.0,3322.81,0.087
Route-05,285,12126.54,0.074,1344.68,0.067
Route-06,213,22814.21,0.059,1439.94,0.083
Route-06,468,6867.63,0.0,5055.93,0.169
Route-06,310,21919.24,0.12,1029.27,0.17
Route-04,306,4179.47,0.04,1207.39,0.091
Route-05,188,7488.73,0.033,996.84,0.101
Route-07,202,7360.37,0.132,7529.6,0.138
Route-01,123,12916.3,0.075,1108.34,0.012
Route-06,251,5428.5,0.079,1146.42,0.111
Route-07,134,7137.02,0.079,2150.34,0.05
Route-02,300,5037.62,0.196,1532.16,0.159
Route-04,169,2380.62,0.029,1905.28,0.063
Route-07,347,2333.47,0.254,1312.69,0.0
Route-01,367,10613.17,0.101,2309.28,0.099
Route-04,486,11801.84,0.13,1007.5,0.178
Route-01,169,7095.95,0.073,2274.27,0.052
Route-07,287,4028.03,0.115,2056.17,0.123
Route-08,123,10573.28,0.21500000000000002,4151.26,0.234
Route-07,137,4397.1,0.191,1314.77,0.169
Route-05,377,4501.07,0.118,1235.19,0.15
Route-01,199,3584.75,0.157,2380.97,0.056
Route-04,294,8024.34,0.083,1531.48,0.003
Route-06,237,15875.42,0.174,683.36,0.092
