Date,Region,Branch,Product,Category,Customer_Segment,Quantity,Discount,Sales,Cost,Profit
2026-03-06,North,B07,P-A,Home,Returning,4,0.132,2966.61,2119.07,847.54
2026-02-27,Central,B06,P-B,Electronics,Returning,5,0.091,9332.91,7498.91,1833.99
2026-03-14,Central,B05,P-E,Sports,New,4,0.118,3892.09,2690.61,1201.49
2026-01-26,Central,B06,P-A,Home,New,3,0.057,2386.9,1568.97,817.94
2026-02-05,Central,B07,P-A,Home,New,2,0.084,1687.43,1142.28,545.15
2026-04-29,South,B01,P-C,Beauty,New,2,0.096,1316.84,801.22,515.61
2026-05-09,South,B09,P-B,Electronics,New,2,0.2,3060.28,3099.76,-39.49
2026-03-06,Central,B08,P-C,Beauty,New,5,0.0,3102.64,1706.45,1396.19
2026-03-30,Central,B04,P-A,Home,New,7,0.0,6550.58,4061.36,2489.22
2026-01-27,East,B06,P-B,Electronics,New,4,0.119,7291.79,6041.91,1249.88
2026-03-27,South,B09,P-A,Home,Returning,4,0.007,3315.98,2069.64,1246.34
2026-03-14,East,B03,P-D,Food,New,4,0.145,1046.26,831.74,214.52
2026-03-09,Central,B08,P-D,Food,VIP,3,0.042,928.37,658.82,269.55
2026-03-25,South,B07,P-C,Beauty,Returning,5,0.063,2630.87,1543.53,1087.34
2026-03-04,Central,B01,P-C,Beauty,Returning,6,0.123,3464.4,2173.43,1290.97
2026-06-15,North,B05,P-E,Sports,VIP,6,0.065,6825.03,4451.7,2373.32
2026-01-24,South,B07,P-A,Home,New,1,0.106,782.03,542.19,239.84
2026-03-03,North,B10,P-A,Home,New,2,0.037,1758.01,1131.37,626.64
2026-02-04,South,B10,P-D,Food,Returning,2,0.095,635.86,477.86,158.0
2026-03-25,Central,B03,P-C,Beauty,Returning,6,0.025,3511.7,1980.55,1531.14
2026-05-15,Central,B10,P-A,Home,Returning,3,0.022,2361.62,1497.22,864.4
2026-06-25,South,B01,P-D,Food,Returning,7,0.097,2479.67,1868.21,611.46
2026-04-06,South,B11,P-B,Electronics,Returning,2,0.13,4329.78,4029.29,300.49
2026-03-06,East,B06,P-B,Electronics,New,6,0.08,11342.97,8998.2,2344.78
2026-01-02,East,B04,P-C,Beauty,Returning,2,0.112,1030.76,638.63,392.13
2026-05-21,Central,B08,P-C,Beauty,Returning,6,0.096,3337.86,2031.21,1306.65
2026-05-31,South,B03,P-E,Sports,Returning,7,0.12,7523.63,5218.1,2305.53
2026-01-12,Central,B03,P-B,Electronics,New,6,0.047,12517.88,9586.11,2931.77
2026-05-16,South,B10,P-B,Electronics,New,5,0.115,9616.99,8801.57,815.42
2026-02-02,North,B08,P-C,Beauty,Returning,7,0.051,4635.75,2686.75,1949.0
2026-04-22,North,B03,P-B,Electronics,New,5,0.114,11036.12,9090.67,1945.45
2026-05-20,Central,B09,P-C,Beauty,New,5,0.028,3117.16,1764.66,1352.5
2026-02-18,East,B05,P-D,Food,New,4,0.114,1426.89,1094.64,332.25
2026-06-07,South,B11,P-A,Home,New,4,0.0,4088.17,2534.66,1553.5
2026-01-10,North,B06,P-E,Sports,VIP,1,0.081,1080.08,716.81,363.26
2026-03-17,Central,B02,P-A,Home,New,2,0.066,1655.97,1099.22,556.75
2026-06-21,North,B08,P-B,Electronics,Returning,3,0.039,6572.02,4993.23,1578.79
2026-05-27,North,B12,P-A,Home,Returning,6,0.065,4742.33,3146.22,1596.11
2026-03-07,East,B09,P-C,Beauty,New,6,0.107,3488.81,2147.67,1341.14
2026-01-31,East,B11,P-B,Electronics,Returning,3,0.044,5642.17,4306.51,1335.66
2026-05-07,North,B02,P-B,Electronics,New,1,0.0,2282.43,1666.17,616.26
2026-04-11,South,B01,P-A,Home,VIP,5,0.104,3487.0,2413.25,1073.75
2026-01-28,Central,B09,P-C,Beauty,Returning,4,0.082,2702.65,1619.23,1083.42
2026-03-15,North,B08,P-C,Beauty,New,3,0.083,1760.25,1056.18,704.06
2026-03-07,Central,B07,P-E,Sports,New,1,0.091,1242.69,834.35,408.35
2026-04-27,North,B01,P-B,Electronics,New,3,0.101,6036.57,4903.04,1133.53
2026-06-05,East,B10,P-C,Beauty,Returning,6,0.142,3723.36,2387.06,1336.3
2026-02-08,East,B09,P-D,Food,New,7,0.086,2132.84,1587.46,545.38
2026-01-29,Central,B11,P-B,Electronics,New,4,0.089,7657.11,6132.97,1524.14
2026-03-01,East,B05,P-D,Food,VIP,5,0.148,1325.08,1057.84,267.24
2026-01-24,Central,B01,P-A,Home,VIP,1,0.142,845.6,610.88,234.72
2026-06-17,Central,B09,P-D,Food,New,1,0.019,387.55,268.63,118.91
2026-01-26,North,B12,P-D,Food,New,2,0.069,595.64,435.17,160.47
2026-04-22,Central,B12,P-E,Sports,New,5,0.001,5996.31,3661.39,2334.92
2026-04-17,South,B09,P-C,Beauty,New,1,0.035,624.6,356.11,268.5
2026-05-19,Central,B12,P-A,Home,VIP,3,0.099,2191.47,1507.28,684.19
2026-02-19,Central,B08,P-A,Home,Returning,4,0.187,3009.02,2294.72,714.3
2026-04-24,East,B02,P-E,Sports,New,4,0.072,4859.16,3194.12,1665.04
2026-06-05,East,B04,P-A,Home,Returning,7,0.025,6542.12,4158.32,2383.8
2026-02-06,North,B02,P-C,Beauty,New,1,0.084,512.65,307.67,204.98
2026-04-24,South,B05,P-B,Electronics,New,2,0.18,3279.65,3239.4,40.25
2026-02-23,Central,B05,P-B,Electronics,New,4,0.08,8207.73,6511.03,1696.7
2026-05-09,Central,B02,P-E,Sports,New,6,0.057,6858.3,4435.45,2422.85
2026-01-25,South,B01,P-E,Sports,Returning,6,0.222,5328.19,4176.77,1151.42
2026-01-09,Central,B04,P-E,Sports,New,3,0.125,2864.3,1996.67,867.63
2026-06-22,South,B08,P-C,Beauty,Returning,4,0.052,2348.25,1362.18,986.07
2026-01-03,South,B04,P-C,Beauty,Returning,7,0.043,4419.74,2539.72,1880.02
2026-04-04,East,B05,P-E,Sports,New,3,0.132,3250.59,2284.98,965.61
2026-02-14,Central,B01,P-C,Beauty,VIP,5,0.136,3164.95,2013.71,1151.24
2026-04-10,East,B08,P-B,Electronics,New,4,0.05,9247.53,7106.22,2141.32
2026-05-01,South,B08,P-E,Sports,New,3,0.117,2969.48,2050.61,918.87
2026-05-13,Central,B07,P-D,Food,New,1,0.043,381.95,271.29,110.67
2026-02-15,East,B09,P-C,Beauty,Returning,7,0.004,4017.28,2219.01,1798.28
2026-02-03,Central,B11,P-B,Electronics,VIP,6,0.054,14332.68,11063.13,3269.55
2026-01-11,Central,B07,P-E,Sports,New,6,0.077,5716.31,3777.13,1939.19
2026-04-30,Central,B10,P-B,Electronics,New,7,0.049,16701.31,12815.55,3885.77
2026-03-01,South,B08,P-D,Food,Returning,2,0.126,660.48,513.78,146.7
2026-04-05,South,B03,P-B,Electronics,New,1,0.154,2027.84,1940.76,87.08
2026-05-22,South,B01,P-C,Beauty,New,6,0.074,3422.0,2033.12,1388.88
2026-04-29,North,B10,P-C,Beauty,Returning,3,0.151,1444.73,935.97,508.77
2026-05-15,South,B03,P-C,Beauty,Returning,6,0.032,4183.54,2378.21,1805.33
2026-01-24,East,B08,P-D,Food,New,5,0.146,1367.95,1089.13,278.82
2026-05-02,East,B02,P-B,Electronics,Returning,2,0.101,3731.08,3030.84,700.24
2026-04-02,North,B12,P-B,Electronics,VIP,1,0.001,2525.84,1846.55,679.29
2026-01-12,South,B11,P-A,Home,New,3,0.128,2646.43,1881.86,764.57
2026-04-28,South,B05,P-A,Home,Returning,3,0.103,2368.19,1636.78,731.41
2026-06-22,North,B04,P-D,Food,New,7,0.0,2332.95,1586.41,746.54
2026-01-09,Central,B01,P-B,Electronics,Returning,3,0.082,6235.06,4958.86,1276.2
2026-06-13,Central,B05,P-B,Electronics,Returning,5,0.095,10444.61,8425.75,2018.86
2026-05-23,Central,B09,P-D,Food,Returning,1,0.029,323.47,226.59,96.87
2026-06-24,South,B11,P-A,Home,New,4,0.0,3855.54,2390.43,1465.11
2026-06-28,Central,B02,P-D,Food,VIP,6,0.083,1905.27,1412.58,492.69
2026-04-17,South,B11,P-D,Food,VIP,2,0.064,604.83,439.35,165.48
2026-05-04,East,B07,P-B,Electronics,Returning,5,0.0,11595.81,8464.94,3130.87
2026-05-19,North,B04,P-E,Sports,New,1,0.022,1056.54,659.32,397.22
2026-01-25,South,B07,P-B,Electronics,New,5,0.09,8920.34,7940.08,980.26
2026-05-30,East,B06,P-C,Beauty,Returning,6,0.129,3323.1,2098.75,1224.35
2026-01-20,Central,B09,P-E,Sports,New,7,0.14,6633.06,4707.34,1925.73
2026-04-06,East,B01,P-E,Sports,Returning,5,0.155,4889.68,3528.36,1361.32
2026-04-29,North,B10,P-D,Food,New,7,0.073,2189.81,1605.71,584.1
2026-01-06,East,B12,P-E,Sports,New,2,0.123,1897.3,1320.02,577.28
2026-05-22,South,B09,P-C,Beauty,Returning,2,0.067,1327.24,782.54,544.7
2026-06-14,South,B12,P-D,Food,Returning,1,0.072,353.16,258.85,94.31
2026-02-28,South,B10,P-C,Beauty,New,5,0.149,2927.77,1892.92,1034.85
2026-06-05,North,B11,P-E,Sports,New,2,0.114,2402.52,1654.74,747.78
2026-01-15,North,B05,P-B,Electronics,VIP,5,0.011,11314.52,8350.52,2964.0
2026-02-22,South,B07,P-E,Sports,Returning,3,0.148,3075.88,2202.39,873.49
2026-04-30,Central,B03,P-B,Electronics,Returning,6,0.013,14401.32,10655.82,3745.49
2026-05-04,South,B04,P-B,Electronics,New,6,0.147,10928.72,10376.47,552.25
2026-05-05,South,B03,P-E,Sports,Returning,3,0.084,3037.47,2023.01,1014.47
2026-04-08,Central,B01,P-A,Home,Returning,5,0.053,3799.12,2486.89,1312.23
2026-05-01,Central,B07,P-C,Beauty,New,2,0.038,1289.56,736.9,552.66
2026-05-18,East,B10,P-D,Food,New,2,0.051,674.9,483.7,191.2
2026-05-02,South,B08,P-A,Home,New,2,0.054,1856.93,1216.67,640.27
2026-03-05,North,B03,P-E,Sports,New,1,0.022,1107.14,690.54,416.6
2026-06-10,Central,B05,P-D,Food,New,7,0.076,2372.1,1745.52,626.58
2026-03-24,South,B04,P-B,Electronics,New,4,0.233,6611.3,6981.71,-370.41
2026-03-30,Central,B09,P-E,Sports,New,1,0.056,1110.56,717.66,392.9
2026-03-16,North,B12,P-C,Beauty,New,5,0.097,2508.84,1527.79,981.05
2026-04-29,East,B07,P-D,Food,Returning,6,0.0,2378.16,1617.15,761.01
2026-02-09,North,B09,P-E,Sports,New,4,0.089,4178.84,2799.36,1379.48
2026-01-09,Central,B04,P-E,Sports,New,2,0.089,2398.78,1605.57,793.21
2026-01-07,East,B05,P-E,Sports,VIP,4,0.12,4608.03,3192.75,1415.28
2026-06-11,Central,B03,P-D,Food,Returning,4,0.0,1289.6,876.93,412.67
2026-06-29,North,B09,P-D,Food,New,3,0.09,1001.21,748.33,252.89
2026-01-07,North,B08,P-E,Sports,New,5,0.137,4593.36,3244.9,1348.46
2026-06-06,South,B04,P-C,Beauty,New,6,0.131,3130.61,1980.95,1149.66
2026-05-28,South,B08,P-A,Home,Returning,1,0.108,727.4,505.63,221.77
2026-03-30,North,B01,P-D,Food,New,5,0.022,1766.93,1227.95,538.98
2026-05-19,Central,B02,P-C,Beauty,Returning,1,0.024,702.5,395.88,306.62
2026-06-26,East,B02,P-C,Beauty,Returning,1,0.018,669.4,374.79,294.61
2026-04-01,South,B11,P-E,Sports,New,7,0.055,7888.98,5094.01,2794.97
2026-03-23,South,B02,P-C,Beauty,Returning,2,0.161,960.26,629.42,330.85
2026-04-19,Central,B09,P-D,Food,VIP,4,0.161,1302.02,1054.66,247.36
2026-01-19,South,B12,P-B,Electronics,Returning,6,0.111,13440.34,12239.83,1200.52
2026-04-13,East,B08,P-D,Food,Returning,7,0.144,1854.5,1473.73,380.77
2026-06-25,South,B04,P-C,Beauty,New,3,0.036,1679.3,957.7,721.6
2026-06-21,Central,B04,P-D,Food,VIP,1,0.09,326.29,243.94,82.34
2026-01-26,North,B05,P-A,Home,VIP,4,0.112,3405.85,2378.11,1027.74
2026-05-17,South,B06,P-C,Beauty,New,3,0.084,1945.97,1168.91,777.05
2026-06-12,Central,B02,P-C,Beauty,New,3,0.042,1884.08,1081.96,802.12
2026-06-13,North,B09,P-E,Sports,New,7,0.073,6889.31,4535.75,2353.56
2026-01-17,Central,B06,P-C,Beauty,New,7,0.207,3338.85,2316.89,1021.96
2026-06-09,Central,B02,P-E,Sports,New,3,0.05,3001.42,1927.61,1073.82
2026-03-12,North,B07,P-E,Sports,VIP,5,0.07,4821.93,3163.61,1658.32
2026-06-22,East,B03,P-E,Sports,New,1,0.094,1162.8,783.15,379.65
2026-05-04,South,B03,P-B,Electronics,New,1,0.182,2037.47,2018.06,19.41
2026-03-28,Central,B03,P-B,Electronics,New,6,0.149,9800.9,8405.38,1395.52
2026-05-03,Central,B02,P-C,Beauty,Returning,2,0.079,1040.23,621.07,419.16
2026-04-02,East,B04,P-B,Electronics,New,6,0.12,10661.86,8842.14,1819.72
2026-02-12,East,B02,P-A,Home,New,4,0.102,3210.54,2215.78,994.76
2026-03-22,Central,B03,P-C,Beauty,New,7,0.062,3935.99,2309.08,1626.91
2026-05-09,South,B08,P-E,Sports,Returning,1,0.109,1099.46,752.4,347.06
2026-05-10,Central,B12,P-D,Food,Returning,1,0.09,363.19,271.49,91.7
2026-02-23,North,B05,P-A,Home,Returning,1,0.099,846.82,582.58,264.24
2026-01-11,Central,B01,P-D,Food,Returning,7,0.052,2268.74,1627.8,640.94
2026-05-11,East,B06,P-C,Beauty,New,4,0.063,2311.37,1356.18,955.19
2026-03-07,North,B07,P-B,Electronics,Returning,5,0.115,9771.1,8059.96,1711.15
2026-01-04,South,B12,P-D,Food,New,3,0.071,937.67,686.04,251.63
2026-04-13,East,B07,P-A,Home,Returning,7,0.091,5505.1,3754.38,1750.72
2026-04-01,North,B04,P-B,Electronics,Returning,2,0.077,3683.74,2912.74,771.0
2026-02-11,South,B04,P-D,Food,Returning,7,0.171,2270.82,1863.58,407.24
2026-01-04,South,B05,P-C,Beauty,New,1,0.059,565.46,330.4,235.07
2026-03-01,Central,B07,P-E,Sports,New,1,0.14,1159.8,822.21,337.59
2026-02-02,North,B12,P-D,Food,VIP,6,0.087,1780.06,1326.35,453.71
2026-04-17,Central,B09,P-C,Beauty,VIP,1,0.134,492.38,312.86,179.52
2026-04-23,Central,B10,P-E,Sports,New,2,0.122,2211.1,1536.15,674.95
2026-03-22,East,B09,P-C,Beauty,VIP,3,0.101,1642.34,1005.1,637.24
2026-03-06,Central,B01,P-E,Sports,Returning,7,0.06,8932.66,5799.67,3132.98
2026-01-28,South,B04,P-A,Home,VIP,2,0.117,1778.62,1248.9,529.72
2026-06-24,Central,B05,P-E,Sports,New,1,0.129,976.83,684.4,292.43
2026-02-13,South,B12,P-B,Electronics,New,2,0.236,3048.58,3230.03,-181.45
2026-04-29,Central,B01,P-E,Sports,Returning,2,0.068,2250.36,1473.47,776.89
2026-04-13,East,B11,P-E,Sports,New,4,0.078,3906.87,2583.56,1323.31
2026-04-13,East,B07,P-B,Electronics,Returning,3,0.098,6065.9,4908.76,1157.14
2026-04-27,Central,B07,P-B,Electronics,Returning,4,0.128,8756.36,7326.39,1429.97
2026-04-27,South,B02,P-D,Food,Returning,2,0.072,663.63,486.1,177.53
2026-02-01,South,B01,P-C,Beauty,Returning,6,0.114,3680.81,2283.87,1396.94
2026-04-15,North,B01,P-D,Food,Returning,3,0.0,1095.8,745.14,350.66
2026-04-04,East,B07,P-B,Electronics,New,7,0.039,16767.47,12737.69,4029.78
2026-03-20,North,B06,P-E,Sports,VIP,3,0.07,3591.52,2356.79,1234.73
