Center,Tickets,Resolved,Avg_Handle_Time,SLA_Breach_Rate,CSAT
Center-02,469,335,13.41,0.049,3.67
Center-03,454,294,13.79,0.111,4.15
Center-08,312,496,12.636,0.198,3.34
Center-02,156,203,16.3,0.04,4.24
Center-06,47,404,7.5,0.071,3.14
Center-05,273,304,15.36,0.173,3.4
Center-08,481,406,23.0985,0.266,4.5
Center-04,482,55,20.03,0.047,4.27
Center-04,217,318,13.61,0.002,3.96
Center-04,489,191,32.78,0.127,4.04
Center-06,245,80,25.42,0.089,4.25
Center-05,192,74,21.19,0.216,3.63
Center-01,428,473,38.62,0.083,3.33
Center-03,236,364,22.39,0.248,3.25
Center-07,441,87,20.89,0.097,4.49
Center-04,183,195,16.06,0.03,3.66
Center-03,304,63,10.55,0.163,4.04
Center-06,266,156,10.93,0.041,3.8
Center-02,195,406,20.72,0.207,4.38
Center-04,151,326,6.16,0.131,4.13
Center-07,487,499,32.24,0.061,3.93
Center-03,412,79,26.8,0.0,4.28
Center-05,482,435,14.62,0.285,4.48
Center-08,489,79,24.7185,0.172,3.92
Center-07,451,460,6.91,0.137,4.37
Center-03,489,34,29.48,0.06,4.68
Center-07,243,398,18.51,0.094,4.23
Center-04,480,167,16.71,0.176,3.78
Center-05,370,406,28.13,0.229,3.9
Center-02,337,291,15.84,0.133,4.74
Center-08,441,418,31.563000000000002,0.187,2.84
Center-08,486,252,13.446000000000002,0.20800000000000002,2.95
Center-07,55,53,24.17,0.266,3.25
Center-02,185,154,18.18,0.178,4.43
Center-07,309,443,18.81,0.09,3.91
Center-04,423,39,18.84,0.132,4.32
Center-03,352,323,14.95,0.071,4.0
Center-08,72,152,34.8705,0.182,3.04
Center-06,257,499,13.93,0.13,4.31
Center-08,433,330,33.4125,0.126,3.47
Center-03,144,42,20.7,0.044,3.51
Center-05,387,94,3.96,0.149,3.99
Center-07,65,333,18.46,0.0,3.91
Center-05,197,323,7.73,0.0,4.74
Center-04,115,462,15.1,0.183,4.15
Center-04,137,302,26.59,0.299,4.19
Center-03,241,219,13.78,0.035,3.34
Center-06,113,406,19.78,0.062,5.0
Center-06,222,335,16.92,0.228,3.67
Center-01,432,253,18.5,0.165,4.43
Center-01,249,263,35.63,0.028,3.93
Center-01,490,57,24.81,0.213,3.97
Center-06,370,48,31.82,0.119,5.0
Center-07,216,187,12.61,0.129,3.5
Center-05,73,246,13.34,0.101,3.46
Center-03,158,49,24.88,0.137,4.81
Center-04,198,101,28.11,0.032,3.95
Center-05,95,322,33.52,0.0,3.48
Center-08,22,165,43.659000000000006,0.183,2.63
Center-06,195,48,28.67,0.098,3.01
Center-01,215,59,19.75,0.09,4.12
Center-01,340,42,8.84,0.098,3.7
Center-04,302,159,7.7,0.222,3.88
Center-02,29,418,21.01,0.001,4.09
Center-03,189,62,26.35,0.055,4.22
Center-04,366,177,21.76,0.122,4.03
Center-04,97,347,11.25,0.07,4.34
Center-02,365,268,33.99,0.051,3.65
Center-05,126,152,26.56,0.206,4.07
Center-06,329,133,12.35,0.046,3.15
Center-08,210,483,28.971000000000004,0.23500000000000001,2.86
Center-05,362,140,14.95,0.211,3.72
Center-05,400,425,23.4,0.174,4.37
Center-03,490,143,25.05,0.17,4.49
Center-04,197,354,29.05,0.212,3.94
Center-01,446,339,14.46,0.114,4.17
Center-07,137,337,11.55,0.186,4.87
Center-08,419,250,28.080000000000002,0.267,3.06
Center-08,293,439,28.012500000000003,0.199,3.14
Center-07,261,464,29.66,0.053,4.55
Center-07,370,174,12.92,0.058,4.26
Center-08,209,98,15.619500000000002,0.333,3.08
Center-01,325,413,26.94,0.091,4.39
Center-01,72,96,12.34,0.002,3.67
Center-01,241,133,28.45,0.172,4.52
Center-04,149,487,18.86,0.04,2.94
Center-03,364,422,20.02,0.097,4.79
Center-05,478,289,27.39,0.2,3.81
Center-07,472,187,26.54,0.032,4.33
Center-07,486,184,15.25,0.053,3.92
Center-06,277,419,14.81,0.09,3.99
Center-05,293,262,33.11,0.218,3.51
Center-06,375,408,22.08,0.0,3.62
Center-08,21,23,26.3115,0.219,3.7
Center-07,244,55,18.98,0.112,4.6
Center-01,89,244,14.38,0.175,3.98
Center-02,474,114,19.5,0.15,4.86
Center-03,115,152,17.12,0.158,4.32
Center-06,260,189,23.14,0.126,3.07
Center-04,231,356,24.34,0.13,4.79
Center-07,470,128,22.52,0.13,3.97
Center-05,306,371,19.39,0.148,4.44
Center-02,441,149,25.52,0.175,3.25
Center-07,320,441,25.9,0.171,4.38
Center-05,457,120,25.45,0.158,4.81
Center-06,258,180,1.0,0.0,4.66
Center-06,61,374,23.09,0.161,4.58
Center-06,206,122,18.92,0.197,4.31
Center-05,410,100,31.64,0.145,4.42
Center-06,406,94,33.3,0.06,2.93
Center-04,196,238,20.26,0.271,3.5
Center-08,391,260,14.8905,0.21400000000000002,2.57
Center-06,451,485,18.45,0.166,4.25
Center-01,302,467,16.96,0.2,3.79
Center-03,394,490,21.83,0.01,3.64
Center-02,496,443,21.51,0.152,4.15
Center-07,154,125,13.84,0.171,4.28
Center-04,246,334,15.91,0.281,3.9
Center-03,135,149,16.93,0.123,4.17
Center-07,85,140,14.22,0.146,4.27
Center-04,77,294,31.48,0.269,4.26
Center-04,133,232,18.19,0.017,3.83
Center-05,477,376,12.35,0.118,3.52
