Branch,Orders,Revenue,Rating,Complaint_Rate,Service_Time
Branch-07,171,7483.1,3.22,0.056,14.27
Branch-02,292,4101.12,3.68,0.281,12.87
Branch-02,431,7635.36,3.99,0.056,21.69
Branch-03,388,8625.39,4.03,0.145,16.08
Branch-03,59,7781.04,3.91,0.182,22.88
Branch-08,169,5280.84,3.29,0.227,22.788
Branch-05,227,14293.8,3.15,0.208,24.4
Branch-08,43,14199.74,3.04,0.186,6.169500000000001
Branch-06,128,4294.41,4.82,0.123,10.27
Branch-01,185,15588.45,4.38,0.328,18.82
Branch-06,428,7568.7,4.24,0.132,12.89
Branch-08,124,4015.22,3.7199999999999998,0.269,44.361000000000004
Branch-05,259,6283.34,4.9,0.106,13.96
Branch-03,230,3707.25,3.59,0.018,25.72
Branch-07,121,6458.68,4.37,0.203,13.86
Branch-01,27,10018.89,3.57,0.127,15.6
Branch-07,77,8042.8,4.35,0.215,16.69
Branch-06,42,4421.38,3.9,0.086,9.12
Branch-07,167,8267.94,4.7,0.1,18.63
Branch-08,351,4714.2,2.89,0.329,48.0735
Branch-02,360,5529.4,3.69,0.021,17.05
Branch-03,91,5019.58,2.62,0.133,19.7
Branch-04,451,6844.36,3.78,0.144,25.6
Branch-06,251,7392.04,4.15,0.063,14.79
Branch-01,416,8363.98,3.6,0.021,28.6
Branch-06,220,4052.95,3.52,0.105,29.77
Branch-06,62,29528.86,4.08,0.025,24.1
Branch-06,462,11276.5,4.56,0.096,12.45
Branch-07,137,15085.61,3.91,0.241,4.56
Branch-03,279,10285.14,4.02,0.133,6.65
Branch-08,304,5483.6,4.06,0.243,29.956500000000005
Branch-06,221,8426.87,3.84,0.258,12.61
Branch-04,184,16614.78,4.86,0.241,32.35
Branch-03,448,6643.44,3.8,0.149,21.33
Branch-03,188,14049.25,3.54,0.128,27.06
Branch-06,368,5067.77,3.94,0.167,5.45
Branch-08,227,5964.56,4.5,0.19,39.74400000000001
Branch-06,380,8853.68,3.59,0.107,24.33
Branch-01,456,7711.27,3.45,0.271,21.29
Branch-03,407,7175.04,3.99,0.166,23.99
Branch-01,40,7672.71,2.65,0.088,36.65
Branch-04,20,7526.55,4.72,0.092,9.3
Branch-01,463,5429.97,3.58,0.072,19.56
Branch-01,62,5532.36,3.96,0.123,13.12
Branch-05,89,8861.03,3.88,0.111,23.82
Branch-01,29,7874.23,3.86,0.115,21.75
Branch-03,174,19390.06,3.7,0.049,16.55
Branch-04,154,6232.51,4.05,0.072,23.22
Branch-04,413,7492.21,3.86,0.152,8.96
Branch-03,403,3000.54,3.88,0.049,24.87
Branch-06,260,8710.57,4.64,0.0,32.91
Branch-02,196,5922.93,3.82,0.131,18.61
Branch-03,263,8469.33,3.32,0.054,15.61
Branch-07,269,5459.71,4.18,0.062,28.41
Branch-01,71,3430.78,3.08,0.08,19.23
Branch-05,77,14198.19,4.19,0.194,20.85
Branch-01,167,18633.87,3.52,0.145,19.21
Branch-05,106,6201.94,3.78,0.017,19.8
Branch-07,195,25442.23,3.78,0.248,8.28
Branch-06,186,5525.36,4.45,0.179,30.46
Branch-06,167,16261.75,3.44,0.225,8.31
