Department,Tenure_Band,Headcount,Turnover_Rate,Absence_Rate,Overtime_Hours
Department-05,Tenure Band-05,331,0.106,0.192,13.66
Department-03,Tenure Band-03,441,0.174,0.115,5.86
Department-07,Tenure Band-07,187,0.063,0.017,19.68
Department-02,Tenure Band-03,238,0.11,0.16,22.43
Department-08,Tenure Band-02,399,0.162,0.165,30.73
Department-04,Tenure Band-03,494,0.187,0.149,12.61
Department-06,Tenure Band-07,400,0.193,0.14,4.48
Department-05,Tenure Band-02,246,0.154,0.138,18.47
Department-05,Tenure Band-05,40,0.014,0.056,16.1
Department-08,Tenure Band-02,221,0.23600000000000002,0.22,21.99
Department-08,Tenure Band-01,245,0.222,0.181,11.75
Department-07,Tenure Band-02,243,0.24,0.108,4.69
Department-07,Tenure Band-07,488,0.243,0.177,25.92
Department-03,Tenure Band-04,237,0.186,0.164,26.53
Department-08,Tenure Band-08,449,0.234,0.23900000000000002,20.0
Department-01,Tenure Band-07,466,0.007,0.16,25.54
Department-07,Tenure Band-01,173,0.213,0.0,22.91
Department-02,Tenure Band-01,253,0.139,0.067,25.98
Department-03,Tenure Band-01,36,0.239,0.207,17.91
Department-02,Tenure Band-07,238,0.197,0.129,40.49
Department-03,Tenure Band-08,35,0.237,0.167,30.98
Department-01,Tenure Band-06,131,0.205,0.098,13.28
Department-05,Tenure Band-02,470,0.0,0.249,9.8
Department-02,Tenure Band-08,83,0.02,0.182,8.58
Department-08,Tenure Band-06,103,0.23700000000000002,0.21700000000000003,13.5
Department-05,Tenure Band-05,31,0.11,0.085,12.99
Department-07,Tenure Band-01,471,0.306,0.068,24.13
Department-01,Tenure Band-01,424,0.153,0.094,14.95
Department-07,Tenure Band-05,107,0.129,0.186,14.01
Department-05,Tenure Band-01,391,0.071,0.073,24.38
Department-03,Tenure Band-02,205,0.18,0.05,5.01
Department-02,Tenure Band-04,318,0.096,0.173,16.14
Department-02,Tenure Band-06,383,0.194,0.081,21.53
Department-07,Tenure Band-05,300,0.26,0.085,28.16
Department-05,Tenure Band-06,455,0.103,0.31,17.55
Department-02,Tenure Band-07,86,0.0,0.079,4.6
Department-03,Tenure Band-07,346,0.139,0.119,26.87
Department-08,Tenure Band-08,185,0.247,0.20500000000000002,29.0
Department-08,Tenure Band-05,201,0.30000000000000004,0.189,21.42
Department-08,Tenure Band-03,148,0.28800000000000003,0.304,5.37
Department-07,Tenure Band-02,474,0.07,0.129,10.81
Department-01,Tenure Band-03,268,0.247,0.078,15.75
Department-02,Tenure Band-07,218,0.053,0.143,22.98
Department-07,Tenure Band-03,107,0.169,0.227,22.23
Department-07,Tenure Band-01,32,0.0,0.065,40.64
Department-06,Tenure Band-05,410,0.09,0.118,29.32
Department-08,Tenure Band-03,142,0.21000000000000002,0.218,1.0
Department-04,Tenure Band-01,136,0.055,0.099,20.16
Department-07,Tenure Band-07,491,0.058,0.201,12.63
Department-04,Tenure Band-07,466,0.073,0.12,24.94
Department-02,Tenure Band-06,419,0.131,0.053,25.73
Department-04,Tenure Band-02,351,0.097,0.217,37.78
Department-07,Tenure Band-06,454,0.053,0.081,18.42
Department-08,Tenure Band-01,248,0.14600000000000002,0.234,25.96
Department-07,Tenure Band-08,73,0.125,0.217,26.17
Department-04,Tenure Band-04,328,0.122,0.146,10.0
Department-05,Tenure Band-04,83,0.134,0.084,4.2
Department-04,Tenure Band-08,385,0.056,0.134,32.26
Department-08,Tenure Band-05,96,0.165,0.157,21.04
Department-02,Tenure Band-02,316,0.144,0.095,31.98
Department-03,Tenure Band-06,312,0.159,0.259,16.71
Department-05,Tenure Band-06,247,0.131,0.186,25.36
Department-02,Tenure Band-05,159,0.07,0.12,16.19
Department-07,Tenure Band-05,268,0.055,0.01,26.71
Department-02,Tenure Band-08,65,0.121,0.166,18.07
Department-04,Tenure Band-06,219,0.079,0.054,17.59
Department-04,Tenure Band-06,481,0.053,0.167,23.69
Department-01,Tenure Band-04,412,0.055,0.0,21.42
Department-06,Tenure Band-04,361,0.17,0.211,11.52
Department-07,Tenure Band-02,344,0.149,0.127,31.21
Department-05,Tenure Band-08,60,0.062,0.066,11.34
Department-02,Tenure Band-03,83,0.176,0.124,14.3
Department-02,Tenure Band-08,172,0.122,0.17,27.64
Department-02,Tenure Band-04,321,0.114,0.207,27.93
Department-02,Tenure Band-01,107,0.049,0.138,18.3
Department-03,Tenure Band-02,221,0.005,0.113,37.36
Department-06,Tenure Band-04,146,0.121,0.204,14.51
Department-06,Tenure Band-01,401,0.005,0.015,14.52
Department-08,Tenure Band-07,322,0.189,0.226,1.22
Department-04,Tenure Band-03,321,0.0,0.098,16.36
Department-04,Tenure Band-03,368,0.098,0.229,25.92
Department-01,Tenure Band-03,306,0.098,0.195,29.79
Department-02,Tenure Band-03,45,0.114,0.126,30.7
Department-08,Tenure Band-07,186,0.182,0.251,22.91
Department-01,Tenure Band-08,160,0.087,0.18,14.63
Department-06,Tenure Band-02,361,0.135,0.21,8.15
Department-04,Tenure Band-07,126,0.215,0.242,15.18
Department-06,Tenure Band-05,213,0.137,0.125,22.23
Department-02,Tenure Band-05,293,0.137,0.138,1.0
Department-03,Tenure Band-02,408,0.055,0.2,16.39
Department-06,Tenure Band-01,394,0.117,0.079,8.74
Department-07,Tenure Band-02,303,0.109,0.176,29.23
Department-07,Tenure Band-07,160,0.136,0.165,36.55
Department-07,Tenure Band-07,282,0.109,0.073,22.42
Department-03,Tenure Band-03,40,0.044,0.3,18.39
Department-05,Tenure Band-04,119,0.08,0.198,14.75
Department-05,Tenure Band-06,349,0.102,0.072,22.41
Department-08,Tenure Band-06,274,0.21500000000000002,0.177,29.03
Department-01,Tenure Band-04,472,0.189,0.038,19.57
Department-04,Tenure Band-03,445,0.096,0.169,25.05
Department-04,Tenure Band-01,459,0.226,0.06,19.01
Department-07,Tenure Band-07,33,0.082,0.163,26.25
Department-06,Tenure Band-01,361,0.173,0.082,10.63
Department-04,Tenure Band-04,97,0.083,0.179,28.64
Department-05,Tenure Band-07,60,0.095,0.067,14.11
Department-02,Tenure Band-02,376,0.188,0.061,7.61
Department-08,Tenure Band-01,371,0.261,0.222,30.11
Department-04,Tenure Band-04,460,0.197,0.111,21.3
Department-08,Tenure Band-03,386,0.151,0.20900000000000002,31.9
Department-05,Tenure Band-01,263,0.172,0.143,11.07
Department-08,Tenure Band-04,335,0.10800000000000001,0.274,24.82
Department-06,Tenure Band-01,254,0.07,0.202,8.03
Department-07,Tenure Band-08,129,0.147,0.027,16.84
Department-03,Tenure Band-02,406,0.02,0.06,14.32
Department-03,Tenure Band-02,291,0.048,0.041,20.98
Department-04,Tenure Band-05,124,0.125,0.072,15.15
Department-07,Tenure Band-01,185,0.024,0.202,29.01
Department-04,Tenure Band-03,180,0.17,0.053,18.2
Department-08,Tenure Band-01,429,0.251,0.10300000000000001,31.55
Department-03,Tenure Band-07,293,0.194,0.056,26.63
